"file_id.BAM","file_id.expression"
"1697ca59-34c6-4550-b738-df21930f2b58","11ec9603-9f69-4cc6-9c24-4b1d375c59c2"
"ae301731-c502-4533-84d7-3e223265441d","6f4f4e5d-d81e-402e-859f-3ee580a8bbde"
"c3cd3c74-f88a-4394-9240-d4b5b754c070","708ac46f-4702-478e-b1ae-187e1a55b985"
"af831284-873e-4530-8bd6-bde434a78a1a","5f7d04a4-2a28-44ae-8c27-f5e60f244432"
"a03c7cc5-b501-464c-826e-73fb010d5641","371cce1a-08bb-49a1-9e85-645d4174decd"
"4e73fb48-52dd-4be1-acc2-e42ed80a6a7a","4cf333ec-bd88-4349-9c72-ee06d32e8cd2"
"502324ea-9c49-414a-8248-58b13da65e8c","03109baa-936f-49ae-acb3-2d00ac03c7ab"
"dfbf5fae-9601-4e84-8561-71f2d49f8520","09977485-e1d1-41b1-b2b8-7ab0ad6df0a0"
"53a795d9-cf28-4d5e-9d2a-c1fed7a7f6e7","83ffbba1-e36b-4ff4-ba58-2d92c4b53654"
"750866ac-7c67-4866-b7e0-e72e1a0a1595","4e2f5ec0-e96c-4e7d-bbf9-dcca3641943e"
"d6c587a2-3c08-4e70-9a21-cb3ed9088e9a","7a2ea46c-25ce-4105-9366-a82292ea1340"
"2bf39125-80ee-4c34-be99-92e0bda2ac38","bb8a0f58-11e6-49dd-bdeb-0b7eb2fb05fc"
"69ea4b44-0ae7-4261-98a7-e33754bef916","ed228bb8-2573-4860-94db-7fea3cb44438"
"512994a9-2bf7-4fe3-994c-f2a80c57b0f1","2eb058b5-5b46-4568-b362-e7e2332babda"
"952fb5b5-4a44-4c37-b5e3-0067448e1f89","eb2347cc-da91-4f84-a56f-ebc759d22915"
"b5e81d7c-13d2-47d2-ade8-16a9d9f52f54","c3f9ba64-6946-45d4-984d-b33ef2589603"
"060ece5e-6a9f-4146-869f-153e5ef7dbcd","bd2dfab3-88a8-4673-ba36-3daf252d0b4d"
"ef7c0e3b-66ac-43c8-a220-abdffbdd2f24","7324b2d6-dd30-4f99-a101-7c3d497bbcb8"
"1df0459c-d0e9-4608-b8a0-f2f132dd6b6b","49072d20-b1fd-485c-b9c7-6169ce301481"
"03d5c3cb-f41c-40fd-b1e3-2c95292c59d5","988eba37-1b57-4740-b0ba-9491b57421ab"
"7219d9a8-634e-471b-82dd-9316b7b28ff2","636b2a02-fffa-441c-81fa-d6d0c5c5a270"
"a6a8865c-75c3-4107-8391-41ac287fd126","b520edf2-42ce-4b64-8575-19e34b30f042"
"95c3c16e-9110-441a-b2dd-186e2fb5fb04","72174abe-f80f-4b7c-8cd5-aa00533486a8"
"2cbe4b2b-1e1f-4249-8501-1c1db85e2cd5","15864159-be88-41c8-bdef-c2c5927cb1a1"
"db82542f-db4b-4e59-8555-1765713e32cf","0570741f-18c0-40e3-a673-9c587232639f"
"ed78303a-7170-4a94-b69d-509634326a4d","00106523-5b1d-44ad-a9f1-7d84db08722c"
"ea4719d5-63a3-49e8-bf2b-69b5a42f8f3e","0ee30795-d8ef-4ce1-b3f0-084b7a39bf35"
"3c611acf-a120-4dd1-b213-dd9b938d2ab4","e4a20e3d-51ce-41a1-b200-0dcbfd01e674"
"8ff632af-e89d-4f9a-a3fa-9db3b5df6a05","1580243c-8353-4c6e-a532-81121b912c21"
"e3adceb2-6d55-4812-b972-e46d843cb261","6f90946a-0a30-49e8-8699-7a8890c01aed"
"663dbacb-27d2-4f8f-9704-e0e1115df17a","d64dbed4-65e5-4a19-ac6b-d8e7a06169da"
"9d21e645-34a1-49ea-8fa0-51aff9d1ec7f","3be1b9f1-f61a-426c-ae3c-a94517d0f9d7"
"34692553-cc9e-454e-a003-85618f12e15b","0e7094cf-4c79-43f4-8b72-9de259e5e18f"
"37cda416-f14e-43d4-8679-00d39e6a8ed4","a902f09a-115f-4374-ad8a-4aace335fbbb"
"5fb32663-921c-4e35-a3d2-a7f7ae7c0d9f","3963e642-4d9f-47a1-bf0e-83462bcb7b13"
