"microbe","Taxonomy","domain","kingdom","phylum","class","order","family","genus","species"
"Abalone.shriveling.syndrome.associated.virus","d__Viruses|o__Caudovirales|s__Abalone shriveling syndrome-associated virus","d__Viruses","k__unclassified-o__Caudovirales","p__unclassified-o__Caudovirales","c__unclassified-o__Caudovirales","o__Caudovirales","f__unclassified-s__Abalone shriveling syndrome-associated virus","g__unclassified-s__Abalone shriveling syndrome-associated virus","s__Abalone shriveling syndrome-associated virus"
"Abelson.murine.leukemia.virus","d__Viruses|o__Ortervirales|f__Retroviridae|g__Gammaretrovirus|s__Abelson murine leukemia virus","d__Viruses","k__unclassified-o__Ortervirales","p__unclassified-o__Ortervirales","c__unclassified-o__Ortervirales","o__Ortervirales","f__Retroviridae","g__Gammaretrovirus","s__Abelson murine leukemia virus"
"Acaryochloris.marina","d__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Acaryochloridaceae|g__Acaryochloris|s__Acaryochloris marina","d__Bacteria","k__unclassified-p__Cyanobacteria","p__Cyanobacteria","c__unclassified-o__Synechococcales","o__Synechococcales","f__Acaryochloridaceae","g__Acaryochloris","s__Acaryochloris marina"
"Acetoanaerobium.sticklandii","d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Acetoanaerobium|s__Acetoanaerobium sticklandii","d__Bacteria","k__unclassified-p__Firmicutes","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Peptostreptococcaceae","g__Acetoanaerobium","s__Acetoanaerobium sticklandii"
"Acetobacter.aceti","d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter aceti","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Acetobacteraceae","g__Acetobacter","s__Acetobacter aceti"
"Acetobacter.ascendens","d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter ascendens","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Acetobacteraceae","g__Acetobacter","s__Acetobacter ascendens"
"Acetobacter.ghanensis","d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter ghanensis","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Acetobacteraceae","g__Acetobacter","s__Acetobacter ghanensis"
"Acetobacter.orientalis","d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter orientalis","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Acetobacteraceae","g__Acetobacter","s__Acetobacter orientalis"
"Acetobacter.oryzifermentans","d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter oryzifermentans","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Acetobacteraceae","g__Acetobacter","s__Acetobacter oryzifermentans"
"Acetobacter.pasteurianus","d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter pasteurianus","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Acetobacteraceae","g__Acetobacter","s__Acetobacter pasteurianus"
"Acetobacter.persici","d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter persici","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Acetobacteraceae","g__Acetobacter","s__Acetobacter persici"
"Acetobacter.pomorum","d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter pomorum","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Acetobacteraceae","g__Acetobacter","s__Acetobacter pomorum"
"Acetobacter.senegalensis","d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter senegalensis","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Acetobacteraceae","g__Acetobacter","s__Acetobacter senegalensis"
"Acetobacter.sp..B6","d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter sp. B6","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Acetobacteraceae","g__Acetobacter","s__Acetobacter sp. B6"
"Acetobacter.sp..KACC.21233","d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter sp. KACC 21233","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Acetobacteraceae","g__Acetobacter","s__Acetobacter sp. KACC 21233"
"Acetobacter.tropicalis","d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter tropicalis","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Acetobacteraceae","g__Acetobacter","s__Acetobacter tropicalis"
"Acetobacteraceae.bacterium","d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|s__Acetobacteraceae bacterium","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Acetobacteraceae","g__unclassified-s__Acetobacteraceae bacterium","s__Acetobacteraceae bacterium"
"Acetohalobium.arabaticum","d__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales|f__Halobacteroidaceae|g__Acetohalobium|s__Acetohalobium arabaticum","d__Bacteria","k__unclassified-p__Firmicutes","p__Firmicutes","c__Clostridia","o__Halanaerobiales","f__Halobacteroidaceae","g__Acetohalobium","s__Acetohalobium arabaticum"
"Acetomicrobium.mobile","d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Acetomicrobium|s__Acetomicrobium mobile","d__Bacteria","k__unclassified-p__Synergistetes","p__Synergistetes","c__Synergistia","o__Synergistales","f__Synergistaceae","g__Acetomicrobium","s__Acetomicrobium mobile"
"Acholeplasma.axanthum","d__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmataceae|g__Acholeplasma|s__Acholeplasma axanthum","d__Bacteria","k__unclassified-p__Tenericutes","p__Tenericutes","c__Mollicutes","o__Acholeplasmatales","f__Acholeplasmataceae","g__Acholeplasma","s__Acholeplasma axanthum"
"Acholeplasma.brassicae","d__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmataceae|g__Acholeplasma|s__Acholeplasma brassicae","d__Bacteria","k__unclassified-p__Tenericutes","p__Tenericutes","c__Mollicutes","o__Acholeplasmatales","f__Acholeplasmataceae","g__Acholeplasma","s__Acholeplasma brassicae"
"Acholeplasma.laidlawii","d__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmataceae|g__Acholeplasma|s__Acholeplasma laidlawii","d__Bacteria","k__unclassified-p__Tenericutes","p__Tenericutes","c__Mollicutes","o__Acholeplasmatales","f__Acholeplasmataceae","g__Acholeplasma","s__Acholeplasma laidlawii"
"Acholeplasma.oculi","d__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmataceae|g__Acholeplasma|s__Acholeplasma oculi","d__Bacteria","k__unclassified-p__Tenericutes","p__Tenericutes","c__Mollicutes","o__Acholeplasmatales","f__Acholeplasmataceae","g__Acholeplasma","s__Acholeplasma oculi"
"Acholeplasma.palmae","d__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmataceae|g__Acholeplasma|s__Acholeplasma palmae","d__Bacteria","k__unclassified-p__Tenericutes","p__Tenericutes","c__Mollicutes","o__Acholeplasmatales","f__Acholeplasmataceae","g__Acholeplasma","s__Acholeplasma palmae"
"Achromobacter.denitrificans","d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Achromobacter|s__Achromobacter denitrificans","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Achromobacter","s__Achromobacter denitrificans"
"Achromobacter.insolitus","d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Achromobacter|s__Achromobacter insolitus","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Achromobacter","s__Achromobacter insolitus"
"Achromobacter.phage.JWF","d__Viruses|o__Caudovirales|f__Siphoviridae|s__Achromobacter phage JWF","d__Viruses","k__unclassified-o__Caudovirales","p__unclassified-o__Caudovirales","c__unclassified-o__Caudovirales","o__Caudovirales","f__Siphoviridae","g__unclassified-s__Achromobacter phage JWF","s__Achromobacter phage JWF"
"Achromobacter.ruhlandii","d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Achromobacter|s__Achromobacter ruhlandii","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Achromobacter","s__Achromobacter ruhlandii"
"Achromobacter.sp..AONIH1","d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Achromobacter|s__Achromobacter sp. AONIH1","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Achromobacter","s__Achromobacter sp. AONIH1"
"Achromobacter.sp..B7","d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Achromobacter|s__Achromobacter sp. B7","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Achromobacter","s__Achromobacter sp. B7"
"Achromobacter.sp..MFA1.R4","d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Achromobacter|s__Achromobacter sp. MFA1 R4","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Achromobacter","s__Achromobacter sp. MFA1 R4"
"Achromobacter.spanius","d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Achromobacter|s__Achromobacter spanius","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Achromobacter","s__Achromobacter spanius"
"Achromobacter.virus.JWX","d__Viruses|o__Caudovirales|f__Siphoviridae|g__Steinhofvirus|s__Achromobacter virus JWX","d__Viruses","k__unclassified-o__Caudovirales","p__unclassified-o__Caudovirales","c__unclassified-o__Caudovirales","o__Caudovirales","f__Siphoviridae","g__Steinhofvirus","s__Achromobacter virus JWX"
"Achromobacter.xylosoxidans","d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Achromobacter|s__Achromobacter xylosoxidans","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Achromobacter","s__Achromobacter xylosoxidans"
"Acidaminococcus.fermentans","d__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus fermentans","d__Bacteria","k__unclassified-p__Firmicutes","p__Firmicutes","c__Negativicutes","o__Acidaminococcales","f__Acidaminococcaceae","g__Acidaminococcus","s__Acidaminococcus fermentans"
"Acidaminococcus.intestini","d__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus intestini","d__Bacteria","k__unclassified-p__Firmicutes","p__Firmicutes","c__Negativicutes","o__Acidaminococcales","f__Acidaminococcaceae","g__Acidaminococcus","s__Acidaminococcus intestini"
"Acidianus.ambivalens","d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Acidianus|s__Acidianus ambivalens","d__Archaea","k__unclassified-p__Crenarchaeota","p__Crenarchaeota","c__Thermoprotei","o__Sulfolobales","f__Sulfolobaceae","g__Acidianus","s__Acidianus ambivalens"
"Acidianus.brierleyi","d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Acidianus|s__Acidianus brierleyi","d__Archaea","k__unclassified-p__Crenarchaeota","p__Crenarchaeota","c__Thermoprotei","o__Sulfolobales","f__Sulfolobaceae","g__Acidianus","s__Acidianus brierleyi"
"Acidianus.hospitalis","d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Acidianus|s__Acidianus hospitalis","d__Archaea","k__unclassified-p__Crenarchaeota","p__Crenarchaeota","c__Thermoprotei","o__Sulfolobales","f__Sulfolobaceae","g__Acidianus","s__Acidianus hospitalis"
"Acidianus.manzaensis","d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Acidianus|s__Acidianus manzaensis","d__Archaea","k__unclassified-p__Crenarchaeota","p__Crenarchaeota","c__Thermoprotei","o__Sulfolobales","f__Sulfolobaceae","g__Acidianus","s__Acidianus manzaensis"
"Acidianus.sulfidivorans","d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Acidianus|s__Acidianus sulfidivorans","d__Archaea","k__unclassified-p__Crenarchaeota","p__Crenarchaeota","c__Thermoprotei","o__Sulfolobales","f__Sulfolobaceae","g__Acidianus","s__Acidianus sulfidivorans"
"Acidibrevibacterium.fodinaquatile","d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidibrevibacterium|s__Acidibrevibacterium fodinaquatile","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Acetobacteraceae","g__Acidibrevibacterium","s__Acidibrevibacterium fodinaquatile"
"Acidiferrobacter.sp..SPIII_3","d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales|f__Acidiferrobacteraceae|g__Acidiferrobacter|s__Acidiferrobacter sp. SPIII_3","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Acidiferrobacterales","f__Acidiferrobacteraceae","g__Acidiferrobacter","s__Acidiferrobacter sp. SPIII_3"
"Acidihalobacter.ferrooxidans","d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Ectothiorhodospiraceae|g__Acidihalobacter|s__Acidihalobacter ferrooxidans","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Chromatiales","f__Ectothiorhodospiraceae","g__Acidihalobacter","s__Acidihalobacter ferrooxidans"
"Acidihalobacter.prosperus","d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Ectothiorhodospiraceae|g__Acidihalobacter|s__Acidihalobacter prosperus","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Chromatiales","f__Ectothiorhodospiraceae","g__Acidihalobacter","s__Acidihalobacter prosperus"
"Acidilobus.saccharovorans","d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Acidilobales|f__Acidilobaceae|g__Acidilobus|s__Acidilobus saccharovorans","d__Archaea","k__unclassified-p__Crenarchaeota","p__Crenarchaeota","c__Thermoprotei","o__Acidilobales","f__Acidilobaceae","g__Acidilobus","s__Acidilobus saccharovorans"
"Acidilobus.sp..7A","d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Acidilobales|f__Acidilobaceae|g__Acidilobus|s__Acidilobus sp. 7A","d__Archaea","k__unclassified-p__Crenarchaeota","p__Crenarchaeota","c__Thermoprotei","o__Acidilobales","f__Acidilobaceae","g__Acidilobus","s__Acidilobus sp. 7A"
"Acidimicrobium.ferrooxidans","d__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Acidimicrobiaceae|g__Acidimicrobium|s__Acidimicrobium ferrooxidans","d__Bacteria","k__unclassified-p__Actinobacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__Acidimicrobiaceae","g__Acidimicrobium","s__Acidimicrobium ferrooxidans"
"Acidipropionibacterium.acidipropionici","d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Acidipropionibacterium|s__Acidipropionibacterium acidipropionici","d__Bacteria","k__unclassified-p__Actinobacteria","p__Actinobacteria","c__Actinobacteria","o__Propionibacteriales","f__Propionibacteriaceae","g__Acidipropionibacterium","s__Acidipropionibacterium acidipropionici"
"Acidipropionibacterium.jensenii","d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Acidipropionibacterium|s__Acidipropionibacterium jensenii","d__Bacteria","k__unclassified-p__Actinobacteria","p__Actinobacteria","c__Actinobacteria","o__Propionibacteriales","f__Propionibacteriaceae","g__Acidipropionibacterium","s__Acidipropionibacterium jensenii"
"Acidipropionibacterium.virtanenii","d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Acidipropionibacterium|s__Acidipropionibacterium virtanenii","d__Bacteria","k__unclassified-p__Actinobacteria","p__Actinobacteria","c__Actinobacteria","o__Propionibacteriales","f__Propionibacteriaceae","g__Acidipropionibacterium","s__Acidipropionibacterium virtanenii"
"Acidisarcina.polymorpha","d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidisarcina|s__Acidisarcina polymorpha","d__Bacteria","k__unclassified-p__Acidobacteria","p__Acidobacteria","c__Acidobacteriia","o__Acidobacteriales","f__Acidobacteriaceae","g__Acidisarcina","s__Acidisarcina polymorpha"
"Acidithiobacillus.caldus","d__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales|f__Acidithiobacillaceae|g__Acidithiobacillus|s__Acidithiobacillus caldus","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Acidithiobacillia","o__Acidithiobacillales","f__Acidithiobacillaceae","g__Acidithiobacillus","s__Acidithiobacillus caldus"
"Acidithiobacillus.ferrivorans","d__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales|f__Acidithiobacillaceae|g__Acidithiobacillus|s__Acidithiobacillus ferrivorans","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Acidithiobacillia","o__Acidithiobacillales","f__Acidithiobacillaceae","g__Acidithiobacillus","s__Acidithiobacillus ferrivorans"
"Acidithiobacillus.ferrooxidans","d__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales|f__Acidithiobacillaceae|g__Acidithiobacillus|s__Acidithiobacillus ferrooxidans","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Acidithiobacillia","o__Acidithiobacillales","f__Acidithiobacillaceae","g__Acidithiobacillus","s__Acidithiobacillus ferrooxidans"
"Acidithiobacillus.thiooxidans","d__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales|f__Acidithiobacillaceae|g__Acidithiobacillus|s__Acidithiobacillus thiooxidans","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Acidithiobacillia","o__Acidithiobacillales","f__Acidithiobacillaceae","g__Acidithiobacillus","s__Acidithiobacillus thiooxidans"
"Acidobacterium.capsulatum","d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacterium|s__Acidobacterium capsulatum","d__Bacteria","k__unclassified-p__Acidobacteria","p__Acidobacteria","c__Acidobacteriia","o__Acidobacteriales","f__Acidobacteriaceae","g__Acidobacterium","s__Acidobacterium capsulatum"
"Acidothermus.cellulolyticus","d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Acidothermales|f__Acidothermaceae|g__Acidothermus|s__Acidothermus cellulolyticus","d__Bacteria","k__unclassified-p__Actinobacteria","p__Actinobacteria","c__Actinobacteria","o__Acidothermales","f__Acidothermaceae","g__Acidothermus","s__Acidothermus cellulolyticus"
"Aciduliprofundum.boonei","d__Archaea|p__Euryarchaeota|g__Aciduliprofundum|s__Aciduliprofundum boonei","d__Archaea","k__unclassified-p__Euryarchaeota","p__Euryarchaeota","c__unclassified-g__Aciduliprofundum","o__unclassified-g__Aciduliprofundum","f__unclassified-g__Aciduliprofundum","g__Aciduliprofundum","s__Aciduliprofundum boonei"
"Aciduliprofundum.sp..MAR08.339","d__Archaea|p__Euryarchaeota|g__Aciduliprofundum|s__Aciduliprofundum sp. MAR08-339","d__Archaea","k__unclassified-p__Euryarchaeota","p__Euryarchaeota","c__unclassified-g__Aciduliprofundum","o__unclassified-g__Aciduliprofundum","f__unclassified-g__Aciduliprofundum","g__Aciduliprofundum","s__Aciduliprofundum sp. MAR08-339"
"Acinetobacter.baumannii","d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter baumannii","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","s__Acinetobacter baumannii"
"Acinetobacter.baylyi","d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter baylyi","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","s__Acinetobacter baylyi"
"Acinetobacter.bereziniae","d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter bereziniae","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","s__Acinetobacter bereziniae"
"Acinetobacter.calcoaceticus","d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter calcoaceticus","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","s__Acinetobacter calcoaceticus"
"Acinetobacter.chinensis","d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter chinensis","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","s__Acinetobacter chinensis"
"Acinetobacter.cumulans","d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter cumulans","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","s__Acinetobacter cumulans"
"Acinetobacter.defluvii","d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter defluvii","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","s__Acinetobacter defluvii"
"Acinetobacter.equi","d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter equi","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","s__Acinetobacter equi"
"Acinetobacter.guillouiae","d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter guillouiae","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","s__Acinetobacter guillouiae"
"Acinetobacter.haemolyticus","d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter haemolyticus","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","s__Acinetobacter haemolyticus"
"Acinetobacter.indicus","d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter indicus","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","s__Acinetobacter indicus"
"Acinetobacter.johnsonii","d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter johnsonii","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","s__Acinetobacter johnsonii"
"Acinetobacter.junii","d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter junii","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","s__Acinetobacter junii"
"Acinetobacter.lactucae","d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter lactucae","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","s__Acinetobacter lactucae"
