"microbe","Taxonomy","domain","kingdom","phylum","class","order","family","genus","species"
"Corynebacterium.vitaeruminis","d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium vitaeruminis","d__Bacteria","k__unclassified-p__Actinobacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Corynebacteriaceae","g__Corynebacterium","s__Corynebacterium vitaeruminis"
"Corynebacterium.xerosis","d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium xerosis","d__Bacteria","k__unclassified-p__Actinobacteria","p__Actinobacteria","c__Actinobacteria","o__Corynebacteriales","f__Corynebacteriaceae","g__Corynebacterium","s__Corynebacterium xerosis"
"Cotesia.congregata.bracovirus","d__Viruses|f__Polydnaviridae|g__Bracovirus|s__Cotesia congregata bracovirus","d__Viruses","k__unclassified-f__Polydnaviridae","p__unclassified-f__Polydnaviridae","c__unclassified-f__Polydnaviridae","o__unclassified-f__Polydnaviridae","f__Polydnaviridae","g__Bracovirus","s__Cotesia congregata bracovirus"
"Coxiella.burnetii","d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Coxiellaceae|g__Coxiella|s__Coxiella burnetii","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Legionellales","f__Coxiellaceae","g__Coxiella","s__Coxiella burnetii"
"Crassaminicella.sp..SY095","d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Crassaminicella|s__Crassaminicella sp. SY095","d__Bacteria","k__unclassified-p__Firmicutes","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Crassaminicella","s__Crassaminicella sp. SY095"
"Crenobacter.cavernae","d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Crenobacter|s__Crenobacter cavernae","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Betaproteobacteria","o__Neisseriales","f__Neisseriaceae","g__Crenobacter","s__Crenobacter cavernae"
"Croceibacter.atlanticus","d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Croceibacter|s__Croceibacter atlanticus","d__Bacteria","k__unclassified-p__Bacteroidetes","p__Bacteroidetes","c__Flavobacteriia","o__Flavobacteriales","f__Flavobacteriaceae","g__Croceibacter","s__Croceibacter atlanticus"
"Croceibacter.phage.P2559S","d__Viruses|o__Caudovirales|f__Siphoviridae|s__Croceibacter phage P2559S","d__Viruses","k__unclassified-o__Caudovirales","p__unclassified-o__Caudovirales","c__unclassified-o__Caudovirales","o__Caudovirales","f__Siphoviridae","g__unclassified-s__Croceibacter phage P2559S","s__Croceibacter phage P2559S"
"Croceicoccus.marinus","d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Croceicoccus|s__Croceicoccus marinus","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Erythrobacteraceae","g__Croceicoccus","s__Croceicoccus marinus"
"Croceicoccus.naphthovorans","d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Croceicoccus|s__Croceicoccus naphthovorans","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Erythrobacteraceae","g__Croceicoccus","s__Croceicoccus naphthovorans"
"Crocosphaera.subtropica","d__Bacteria|p__Cyanobacteria|o__Chroococcales|f__Aphanothecaceae|g__Crocosphaera|s__Crocosphaera subtropica","d__Bacteria","k__unclassified-p__Cyanobacteria","p__Cyanobacteria","c__unclassified-o__Chroococcales","o__Chroococcales","f__Aphanothecaceae","g__Crocosphaera","s__Crocosphaera subtropica"
"Cronobacter.condimenti","d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Cronobacter|s__Cronobacter condimenti","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Cronobacter","s__Cronobacter condimenti"
"Cronobacter.dublinensis","d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Cronobacter|s__Cronobacter dublinensis","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Cronobacter","s__Cronobacter dublinensis"
"Cronobacter.malonaticus","d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Cronobacter|s__Cronobacter malonaticus","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Cronobacter","s__Cronobacter malonaticus"
"Cronobacter.muytjensii","d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Cronobacter|s__Cronobacter muytjensii","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Cronobacter","s__Cronobacter muytjensii"
"Cronobacter.phage.S13","d__Viruses|o__Caudovirales|f__Myoviridae|s__Cronobacter phage S13","d__Viruses","k__unclassified-o__Caudovirales","p__unclassified-o__Caudovirales","c__unclassified-o__Caudovirales","o__Caudovirales","f__Myoviridae","g__unclassified-s__Cronobacter phage S13","s__Cronobacter phage S13"
"Cronobacter.phage.vB_CsaM_GAP32","d__Viruses|o__Caudovirales|f__Myoviridae|g__Eneladusvirus|s__Cronobacter phage vB_CsaM_GAP32","d__Viruses","k__unclassified-o__Caudovirales","p__unclassified-o__Caudovirales","c__unclassified-o__Caudovirales","o__Caudovirales","f__Myoviridae","g__Eneladusvirus","s__Cronobacter phage vB_CsaM_GAP32"
"Cronobacter.sakazakii","d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Cronobacter|s__Cronobacter sakazakii","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Cronobacter","s__Cronobacter sakazakii"
"Cronobacter.turicensis","d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Cronobacter|s__Cronobacter turicensis","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Cronobacter","s__Cronobacter turicensis"
