"hazard.ratio.D","pvalue.D","taxa","n.patient","n.death","low.bound.D","upper.bound.D","hazard.ratio.C","pvalue.C","taxa","low.bound.C","upper.bound.C"
0.741167584623885,0.367185448494289,"phylum_Tenericutes",66,31,0.386527818114675,1.42118978959033,0.926231410468749,0.8102581772184,"phylum_Tenericutes",0.495494730130811,1.73141019181464
NA,NA,"class_Aconoidasida",104,46,NA,NA,NA,NA,"class_Aconoidasida",NA,NA
NA,NA,"class_Actinobacteria",104,46,NA,NA,NA,NA,"class_Actinobacteria",NA,NA
1.95341789726379,0.356972631970429,"class_Alphaproteobacteria",97,44,0.469958140001386,8.119534819291,2.38144050322207,0.235425000210503,"class_Alphaproteobacteria",0.56799292376782,9.98473507868006
0.825001026685705,0.578955925461038,"class_Ardenticatenia",26,11,0.418185223049754,1.62757232086962,0.750052493966723,0.407314670434063,"class_Ardenticatenia",0.3798783969861,1.48094429209221
1.26298096958587,0.518624687910519,"class_Bacillariophyceae",81,36,0.621591111894475,2.56619005486499,1.21590496333914,0.587190839133167,"class_Bacillariophyceae",0.600348621412625,2.46261060181003
NA,NA,"class_Bacilli",104,46,NA,NA,NA,NA,"class_Bacilli",NA,NA
0.870712477349909,0.772510188681103,"class_Bangiophyceae",96,41,0.34059928828003,2.22590077049573,0.889406316098611,0.806345959857938,"class_Bangiophyceae",0.348454723719102,2.27014742883434
1.95341789726379,0.356972631970429,"class_Betaproteobacteria",97,44,0.469958140001386,8.119534819291,2.38144050322207,0.235425000210503,"class_Betaproteobacteria",0.56799292376782,9.98473507868006
NA,NA,"class_Bryopsida",104,46,NA,NA,NA,NA,"class_Bryopsida",NA,NA
1.23552221118261,0.476680787966111,"class_Chlorarachniophyceae",53,24,0.69005584998434,2.21216171757721,1.3464701952861,0.318719971431479,"class_Chlorarachniophyceae",0.750303899295239,2.41633022099007
NA,NA,"class_Clostridia",104,46,NA,NA,NA,NA,"class_Clostridia",NA,NA
0.123881677133455,0.0448145742611823,"class_Conoidasida",103,45,0.0161065106788335,0.952823999897476,0.204468963801011,0.121865953493105,"class_Conoidasida",0.027366789490043,1.52767489124255
3323108.24694328,0.997492214574278,"class_Coscinodiscophyceae",103,46,0,Inf,3328944.18376227,0.996356523335053,"class_Coscinodiscophyceae",0,Inf
0.821561345722675,0.509261195605,"class_Cytophagia",50,22,0.458296886079974,1.47276375922805,0.764382326197302,0.373504351258754,"class_Cytophagia",0.422976122873883,1.3813553744664
NA,NA,"class_Deinococci",0,0,NA,NA,NA,NA,"class_Deinococci",NA,NA
1.8664427639326,0.300002277801412,"class_Deltaproteobacteria",94,43,0.57346327463796,6.07468471845147,2.09734470377458,0.219204787741966,"class_Deltaproteobacteria",0.643479289213506,6.83604722045956
0.376778999160343,0.337906468733605,"class_Dothideomycetes",102,45,0.0511783902184983,2.77387416060143,0.552296106156595,0.558649085521222,"class_Dothideomycetes",0.0755320291308329,4.03843233639833
1.40122566155286,0.303714137305629,"class_Epsilonproteobacteria",68,33,0.736741023935003,2.66502514561681,1.47656113275734,0.237979196792691,"class_Epsilonproteobacteria",0.77292915664613,2.82074076262054
1.84027062117967,0.54696339453264,"class_Eumycetozoa",100,45,0.2528979867389,13.3911542865441,2.62014326098415,0.34183484712892,"class_Eumycetozoa",0.359555649843366,19.0934302132961
NA,NA,"class_Eurotiomycetes",104,46,NA,NA,NA,NA,"class_Eurotiomycetes",NA,NA
0.894564799615208,0.707969421907926,"class_Flavobacteriia",51,23,0.499375269361264,1.60249461639173,0.830427881555464,0.53728791549628,"class_Flavobacteriia",0.460174625215422,1.49858429534629
0.919753560877587,0.809648452459176,"class_Fusobacteriia",28,11,0.465668993571636,1.81662645446645,0.743278682440746,0.392621377094654,"class_Fusobacteriia",0.376479803162027,1.46744445553454
1.95341789726379,0.356972631970429,"class_Gammaproteobacteria",97,44,0.469958140001386,8.119534819291,2.38144050322207,0.235425000210503,"class_Gammaproteobacteria",0.56799292376782,9.98473507868006
NA,NA,"class_Gemmatimonadetes",0,0,NA,NA,NA,NA,"class_Gemmatimonadetes",NA,NA
NA,NA,"class_Halobacteria",0,0,NA,NA,NA,NA,"class_Halobacteria",NA,NA
NA,NA,"class_Leotiomycetes",104,46,NA,NA,NA,NA,"class_Leotiomycetes",NA,NA
NA,NA,"class_Magnoliopsida",104,46,NA,NA,NA,NA,"class_Magnoliopsida",NA,NA
0.792378496691606,0.439673224013991,"class_Malasseziomycetes",65,25,0.439125885983325,1.42980339365166,0.739888071141157,0.317120209236011,"class_Malasseziomycetes",0.410050138214435,1.33504249065928
0.782177367858375,0.80951274687918,"class_Mamiellophyceae",103,45,0.106118963597125,5.76524132965081,1.12592173248641,0.908214214537414,"class_Mamiellophyceae",0.149921405672884,8.45576215081125
NA,NA,"class_Methanomicrobia",0,0,NA,NA,NA,NA,"class_Methanomicrobia",NA,NA
0.741167584623885,0.367185448494289,"class_Mollicutes",66,31,0.386527818114675,1.42118978959033,0.926231410468749,0.8102581772184,"class_Mollicutes",0.495494730130811,1.73141019181464
0.927498854012363,0.855461077883494,"class_Negativicutes",90,39,0.412676429518133,2.08457295513275,1.03465688835879,0.934085209426578,"class_Negativicutes",0.461480577714237,2.3197398294218
1.3464538255428,0.394296763647306,"class_Oligoflexia",77,35,0.679115965906476,2.66955570967759,1.49400468895518,0.251509487662389,"class_Oligoflexia",0.752217553062074,2.96729317407445
NA,NA,"class_Saccharomycetes",104,46,NA,NA,NA,NA,"class_Saccharomycetes",NA,NA
1.09510347453199,0.825211043135358,"class_Schizosaccharomycetes",89,39,0.488991374434137,2.45250056060766,1.12747370479315,0.77075714056512,"class_Schizosaccharomycetes",0.503058890564236,2.52693467672187
NA,NA,"class_Sordariomycetes",104,46,NA,NA,NA,NA,"class_Sordariomycetes",NA,NA
0.659026558466137,0.231158141354145,"class_Thermoprotei",30,11,0.333019334266885,1.30417654494395,0.560412276418151,0.102084375691305,"class_Thermoprotei",0.279897430394631,1.12206074602891
NA,NA,"class_Tissierellia",0,0,NA,NA,NA,NA,"class_Tissierellia",NA,NA
2.21582380964524,0.184759083447931,"class_Tremellomycetes",93,43,0.683742327093958,7.18088519729162,1.66627398120032,0.394361492875995,"class_Tremellomycetes",0.51460724119417,5.3953165796545
NA,NA,"class_Ustilaginomycetes",104,46,NA,NA,NA,NA,"class_Ustilaginomycetes",NA,NA
0.927498854012363,0.855461077883494,"order_Acidaminococcales",90,39,0.412676429518133,2.08457295513275,1.03465688835879,0.934085209426578,"order_Acidaminococcales",0.461480577714237,2.3197398294218
1.15343242305769,0.664751243623005,"order_Actinomycetales",30,13,0.604812928394523,2.19969893516051,1.19410271910983,0.59233160541192,"order_Actinomycetales",0.623797046520204,2.28580964231819
1.39282092840678,0.280759765010912,"order_Aeromonadales",61,29,0.76281859406255,2.5431343096611,1.54291812193886,0.162112010121467,"order_Aeromonadales",0.840022928537081,2.83396589561334
NA,NA,"order_Alteromonadales",0,0,NA,NA,NA,NA,"order_Alteromonadales",NA,NA
NA,NA,"order_Apiales",104,46,NA,NA,NA,NA,"order_Apiales",NA,NA
0.825001026685705,0.578955925461038,"order_Ardenticatenales",26,11,0.418185223049754,1.62757232086962,0.750052493966723,0.407314670434063,"order_Ardenticatenales",0.3798783969861,1.48094429209221
NA,NA,"order_Arecales",104,46,NA,NA,NA,NA,"order_Arecales",NA,NA
NA,NA,"order_Asparagales",104,46,NA,NA,NA,NA,"order_Asparagales",NA,NA
NA,NA,"order_Asterales",104,46,NA,NA,NA,NA,"order_Asterales",NA,NA
NA,NA,"order_Bacillales",104,46,NA,NA,NA,NA,"order_Bacillales",NA,NA
1.3464538255428,0.394296763647306,"order_Bacteriovoracales",77,35,0.679115965906476,2.66955570967759,1.49400468895518,0.251509487662389,"order_Bacteriovoracales",0.752217553062074,2.96729317407445
0.950613934328772,0.866209675024409,"order_Bacteroidetes",43,20,0.527368658689506,1.71353916705177,0.901236854666989,0.731167613098327,"order_Bacteroidetes",0.497978629149827,1.63104964885084
NA,NA,"order_Brassicales",104,46,NA,NA,NA,NA,"order_Brassicales",NA,NA
1.95341789726379,0.356972631970429,"order_Burkholderiales",97,44,0.469958140001386,8.119534819291,2.38144050322207,0.235425000210503,"order_Burkholderiales",0.56799292376782,9.98473507868006
1.40122566155286,0.303714137305629,"order_Campylobacterales",68,33,0.736741023935003,2.66502514561681,1.47656113275734,0.237979196792691,"order_Campylobacterales",0.77292915664613,2.82074076262054
0.376778999160343,0.337906468733605,"order_Capnodiales",102,45,0.0511783902184983,2.77387416060143,0.552296106156595,0.558649085521222,"order_Capnodiales",0.0755320291308329,4.03843233639833
NA,NA,"order_Caryophyllales",104,46,NA,NA,NA,NA,"order_Caryophyllales",NA,NA
NA,NA,"order_Caulobacterales",0,0,NA,NA,NA,NA,"order_Caulobacterales",NA,NA
