"datset","bin","n"
"TCGA",3,9888998
"TCGA",4,8912340
"TCGA",5,7700435
"TCGA",6,6875131
"TCGA",7,6178253
"TCGA",8,5361976
"TCGA",9,4647630
"TCGA",10,4012025
"TCGA",11,3262322
"TCGA",12,2618211
"TCGA",13,2035091
"TCGA",14,1503994
"TCGA",15,1107579
"TCGA",16,777167
"TCGA",17,601125
"TCGA",18,423804
"TCGA",19,306147
"TCGA",20,216904
"TCGA",21,159278
"TCGA",22,120053
"TCGA",23,81267
"TCGA",24,59108
"TCGA",25,30888
"TCGA",26,28610
"TCGA",27,32842
"TCGA",28,16798
"TCGA",29,13890
"TCGA",30,6558
"TCGA",31,2495
"TCGA",32,2061
"TCGA",33,1456
"TCGA",34,1021
"TCGA",35,823
"TCGA",36,567
"TCGA",37,430
"TCGA",38,258
"TCGA",39,193
"TCGA",40,135
"TCGA",41,84
"TCGA",42,63
"TCGA",43,45
"TCGA",44,25
"TCGA",45,23
"TCGA",46,16
"TCGA",47,7
"TCGA",48,10
"TCGA",49,8
"TCGA",50,15
"TCGA",51,12
"TCGA",52,4
"TCGA",53,1
"TCGA",54,1
"TCGA",NA,260266788
