"Gene","n","rank"
"MTRNR2L3",5252,254
"FOXO3B",5205,255
"SNORD116-16",5164,256
"SNORD116-21",5161,257
"FLJ10038",5151,258
"FBXL15",5124,259
"PHKG2",5095,260
"SERTAD3",5078,261
"SNORD116-15",5070,262
"WFS1",4953,263
"C2orf27B",4929,264
"CEACAM22P",4926,265
"LOC728342",4845,266
"LOC386758",4843,267
"KCTD17",4789,268
"SNHG5",4675,269
"CD99P1",4645,270
"LOC285954",4602,271
"LOC100505576",4541,272
"UBE2Q2P3",4447,273
"LOC145663",4348,274
"ANKRD26",4059,275
"C9orf23",4016,276
"LOC728190",3882,277
"LOC407835",3750,278
"PSMB8",3582,279
"GALK1",3441,280
"INO80B-WBP1",3242,281
"ZNF850",3232,282
"CASC2",3153,283
"NBPF16",3087,284
"ZNF702P",2850,285
"SNORD116-25",2813,286
"ZNF141",2810,287
"SIVA1",2704,288
"TIGD5",2520,289
"TMEM187",2377,290
"ZNF283",2125,291
"OGFOD2",2039,292
"H3F3C",1959,293
"LOC643401",1906,294
"LOC646329",1859,295
"LOC728743",1855,296
"PRR24",1850,297
"DKFZP434I0714",1845,298
"LOC100505648",1842,299
"LOC401588",1842,300
"C15orf5",1810,301
"C10orf32-AS3MT",1756,302
"FLJ40292",1748,303
"NCRUPAR",1727,304
"LOC641364",1621,305
"PKDCC",1613,306
"DDAH2",1612,307
"TCAM1P",1574,308
"TMEM160",1573,309
"1/2-SBSRNA4",1540,310
"ZNF717",1473,311
"ARMC6",1444,312
"ZNF550",1431,313
"ZNF33A",1331,314
"ZNF233",1274,315
"NTPCR",1176,316
"LOC100630923",1138,317
"ZNF718",1126,318
"LOC729678",1027,319
"COX14",997,320
"LOC100294145",930,321
"CTU2",916,322
"SNORD116-23",893,323
"ZNF100",890,324
"RPUSD2",864,325
"FLJ31306",815,326
"LOC728431",800,327
"TUG1",799,328
"MALAT1",795,329
"ZNF701",790,330
"AK2",746,331
"LOC100233209",740,332
"SNORA36B",731,333
"SNORD94",724,334
"SNORA58",706,335
"WDR18",704,336
"ZNF813",700,337
"BAD",688,338
"SNORA78",683,339
"SLED1",679,340
"C14orf119",663,341
"LOC100507634",625,342
"MTRNR2L5",617,343
"LIN28A",611,344
"LOC439994",598,345
"ZNFX1-AS1",596,346
"LOC90246",592,347
"OR7E2P",586,348
"CG030",584,349
"LOC440944",584,350
"HSPA12B",582,351
"FLJ32224",565,352
