"microbe","cancer","TCC.dir","TCC.sig","TCGA.dir","TCGA.sig","agree.code","taxalev"
"c__Chlorarachniophyceae","COAD","neg","FALSE","pos","FALSE",FALSE,"c"
"c__Chlorarachniophyceae","KIRC","neg","FALSE","neg","FALSE",FALSE,"c"
"c__Chlorarachniophyceae","LUAD","neg","FALSE","neg","FALSE",FALSE,"c"
"c__Chlorarachniophyceae","LUSC","pos","NA","neg","FALSE",FALSE,"c"
"c__Chlorarachniophyceae","READ","neg","FALSE","neg","FALSE",FALSE,"c"
"c__Chlorarachniophyceae","SARC","neg","FALSE","pos","FALSE",FALSE,"c"
"c__Chlorarachniophyceae","SKCM","neg","FALSE","pos","FALSE",FALSE,"c"
"c__Chthonomonadetes","All","pos","FALSE","neg","FALSE",FALSE,"c"
"c__Chthonomonadetes","BLCA","NA","NA","neg","TRUE",FALSE,"c"
"c__Chthonomonadetes","COAD","pos","FALSE","pos","FALSE",FALSE,"c"
"c__Chthonomonadetes","KIRC","NA","NA","neg","FALSE",FALSE,"c"
"c__Chthonomonadetes","LUAD","pos","FALSE","neg","TRUE",FALSE,"c"
"c__Chthonomonadetes","LUSC","pos","NA","neg","FALSE",FALSE,"c"
"c__Chthonomonadetes","READ","NA","NA","neg","TRUE",FALSE,"c"
"c__Chthonomonadetes","SARC","NA","NA","NA","NA",FALSE,"c"
"c__Chthonomonadetes","SKCM","NA","NA","NA","NA",FALSE,"c"
"c__Clostridia","All","neg","FALSE","pos","FALSE",FALSE,"c"
"c__Clostridia","BLCA","neg","FALSE","pos","FALSE",FALSE,"c"
"c__Clostridia","COAD","neg","FALSE","neg","FALSE",FALSE,"c"
"c__Clostridia","KIRC","neg","FALSE","pos","FALSE",FALSE,"c"
"c__Clostridia","LUAD","pos","FALSE","neg","FALSE",FALSE,"c"
"c__Clostridia","LUSC","pos","NA","pos","FALSE",FALSE,"c"
"c__Clostridia","READ","neg","FALSE","neg","FALSE",FALSE,"c"
"c__Clostridia","SARC","neg","FALSE","pos","TRUE",FALSE,"c"
"c__Clostridia","SKCM","neg","FALSE","neg","FALSE",FALSE,"c"
"c__Conexivisphaeria","All","neg","TRUE","neg","FALSE",FALSE,"c"
"c__Conexivisphaeria","BLCA","neg","FALSE","neg","FALSE",FALSE,"c"
"c__Conexivisphaeria","COAD","neg","FALSE","neg","TRUE",FALSE,"c"
"c__Conexivisphaeria","KIRC","neg","FALSE","pos","FALSE",FALSE,"c"
"c__Conexivisphaeria","LUAD","neg","FALSE","neg","FALSE",FALSE,"c"
"c__Conexivisphaeria","LUSC","pos","NA","neg","FALSE",FALSE,"c"
"c__Conexivisphaeria","READ","neg","FALSE","NA","NA",FALSE,"c"
"c__Conexivisphaeria","SARC","neg","FALSE","NA","NA",FALSE,"c"
"c__Conexivisphaeria","SKCM","pos","FALSE","NA","NA",FALSE,"c"
"c__Conoidasida","All","neg","TRUE","pos","FALSE",FALSE,"c"
"c__Conoidasida","BLCA","neg","FALSE","neg","FALSE",FALSE,"c"
"c__Conoidasida","COAD","neg","FALSE","pos","FALSE",FALSE,"c"
"c__Conoidasida","KIRC","neg","FALSE","neg","FALSE",FALSE,"c"
"c__Conoidasida","LUAD","neg","FALSE","neg","FALSE",FALSE,"c"
"c__Conoidasida","LUSC","pos","NA","neg","FALSE",FALSE,"c"
"c__Conoidasida","READ","neg","FALSE","neg","FALSE",FALSE,"c"
"c__Conoidasida","SARC","neg","TRUE","pos","FALSE",FALSE,"c"
"c__Conoidasida","SKCM","neg","FALSE","pos","FALSE",FALSE,"c"
"c__Coriobacteriia","All","pos","FALSE","neg","FALSE",FALSE,"c"
"c__Coriobacteriia","BLCA","NA","NA","neg","FALSE",FALSE,"c"
"c__Coriobacteriia","COAD","pos","FALSE","neg","FALSE",FALSE,"c"
"c__Coriobacteriia","KIRC","NA","NA","pos","FALSE",FALSE,"c"
"c__Coriobacteriia","LUAD","pos","FALSE","neg","FALSE",FALSE,"c"
"c__Coriobacteriia","LUSC","pos","NA","neg","FALSE",FALSE,"c"
"c__Coriobacteriia","READ","neg","FALSE","neg","FALSE",FALSE,"c"
"c__Coriobacteriia","SARC","neg","FALSE","pos","FALSE",FALSE,"c"
"c__Coriobacteriia","SKCM","NA","NA","pos","FALSE",FALSE,"c"
"c__Cryptophyceae","All","neg","TRUE","neg","FALSE",FALSE,"c"
"c__Cryptophyceae","BLCA","neg","FALSE","neg","FALSE",FALSE,"c"
"c__Cryptophyceae","COAD","neg","TRUE","neg","FALSE",FALSE,"c"
"c__Cryptophyceae","KIRC","neg","FALSE","neg","FALSE",FALSE,"c"
"c__Cryptophyceae","LUAD","neg","FALSE","neg","FALSE",FALSE,"c"
"c__Cryptophyceae","LUSC","pos","NA","neg","FALSE",FALSE,"c"
"c__Cryptophyceae","READ","neg","FALSE","neg","FALSE",FALSE,"c"
"c__Cryptophyceae","SARC","neg","FALSE","pos","FALSE",FALSE,"c"
"c__Cryptophyceae","SKCM","neg","FALSE","pos","FALSE",FALSE,"c"
"c__Cytophagia","All","neg","FALSE","pos","FALSE",FALSE,"c"
