"microbe","PreNorm.sig","PreNorm.dir","Norm.sig","Norm.dir","consistentEffect"
"p__Verrucomicrobia","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"c__Acidimicrobiia","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"c__Acidobacteriia","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"c__Aconoidasida","FALSE","enrichedFF","TRUE","enrichedFF",FALSE
"c__Actinomycetia","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"c__Agaricomycetes","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"c__Alphaproteobacteria","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"c__Anaerolineae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"c__Bacilli","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"c__Bacteroidia","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"c__Betaproteobacteria","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"c__Caldilineae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"c__Candidatus","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"c__Caudoviricetes","TRUE","enrichedFFPE","TRUE","enrichedFFPE",TRUE
"c__Chitinophagia","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"c__Chlamydiia","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"c__Chlorarachniophyceae","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"c__Chthonomonadetes","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"c__Clostridia","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"c__Conexivisphaeria","TRUE","enrichedFFPE","TRUE","enrichedFFPE",TRUE
"c__Conoidasida","FALSE","enrichedFF","FALSE","enrichedFFPE",FALSE
"c__Coriobacteriia","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"c__Cryptophyceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"c__Cytophagia","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"c__Deinococci","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"c__Deltaproteobacteria","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"c__Dothideomycetes","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"c__Epsilonproteobacteria","FALSE","enrichedFF","FALSE","enrichedFFPE",FALSE
"c__Erysipelotrichia","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"c__Eurotiomycetes","TRUE","enrichedFFPE","FALSE","enrichedFF",FALSE
"c__Fimbriimonadia","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"c__Flavobacteriia","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"c__Fusobacteriia","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"c__Gammaproteobacteria","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"c__Gemmatimonadetes","TRUE","enrichedFFPE","FALSE","enrichedFF",FALSE
"c__Halobacteria","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"c__Ignavibacteria","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"c__Kinetoplastea","TRUE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"c__Kiritimatiellae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"c__Ktedonobacteria","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"c__Leotiomycetes","TRUE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"c__Mammalia","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"c__Methanobacteria","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"c__Mollicutes","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"c__Negativicutes","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"c__Nitriliruptoria","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"c__Nitrospira","FALSE","enrichedFF","FALSE","enrichedFFPE",FALSE
"c__Oligoflexia","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"c__Opitutae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"c__Phycisphaerae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"c__Planctomycetia","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"c__Revtraviricetes","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"c__Rubrobacteria","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"c__Saccharomycetes","TRUE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"c__Saprospiria","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"c__Schizosaccharomycetes","TRUE","enrichedFFPE","FALSE","enrichedFF",FALSE
"c__Sordariomycetes","TRUE","enrichedFFPE","FALSE","enrichedFF",FALSE
"c__Spartobacteria","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"c__Sphingobacteriia","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"c__Spirochaetia","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"c__Synergistia","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"c__Tepidiformia","FALSE","enrichedFF","FALSE","enrichedFFPE",FALSE
"c__Thermoleophilia","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"c__Thermoprotei","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"c__Tissierellia","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"c__Tremellomycetes","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"c__unclassified-f__Unikaryonidae","FALSE","enrichedFF","TRUE","enrichedFF",FALSE
"c__unclassified-g__Candidatus","TRUE","enrichedFFPE","FALSE","enrichedFF",FALSE
"c__unclassified-g__Ndongobacter","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"c__unclassified-o__Bacteroidetes","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"c__unclassified-o__Chroococcales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"c__unclassified-o__Chroococcidiopsidales","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"c__unclassified-o__Diplomonadida","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"c__unclassified-o__Gloeoemargaritales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"c__unclassified-o__Nostocales","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"c__unclassified-o__Synechococcales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"c__Ustilaginomycetes","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"c__Verrucomicrobiae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"c__Vicinamibacteria","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"o__Acidaminococcales","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"o__Acidimicrobiales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Acidobacteriales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Actinomycetales","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"o__Agaricales","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"o__Alteromonadales","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"o__Anaerolineales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Bacillales","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"o__Bacteriovoracales","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"o__Bacteroidales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Bacteroidetes","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"o__Bifidobacteriales","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"o__Brachyspirales","TRUE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"o__Bryobacterales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Burkholderiales","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"o__Caldilineales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Campylobacterales","FALSE","enrichedFF","FALSE","enrichedFFPE",FALSE
"o__Candidatus","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Cantharellales","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"o__Caudovirales","TRUE","enrichedFFPE","TRUE","enrichedFFPE",TRUE
"o__Caulobacterales","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"o__Cellvibrionales","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"o__Chitinophagales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Chromatiales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Chroococcales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Chroococcidiopsidales","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"o__Chthonomonadales","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"o__Conexivisphaerales","TRUE","enrichedFFPE","TRUE","enrichedFFPE",TRUE
"o__Coriobacteriales","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"o__Corynebacteriales","TRUE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"o__Cryptomonadales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Cytophagales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Desulfovibrionales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Diplomonadida","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Eggerthellales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Egibacterales","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"o__Enterobacterales","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"o__Erysipelotrichales","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"o__Eubacteriales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Eucoccidiorida","FALSE","enrichedFF","FALSE","enrichedFFPE",FALSE
"o__Eurotiales","TRUE","enrichedFFPE","FALSE","enrichedFF",FALSE
"o__Fimbriimonadales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Flavobacteriales","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"o__Frankiales","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"o__Fusobacteriales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Gemmatales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Gemmatimonadales","TRUE","enrichedFFPE","FALSE","enrichedFF",FALSE
"o__Geodermatophilales","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"o__Gloeoemargaritales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Glomerellales","TRUE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"o__Glycomycetales","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"o__Haemosporida","FALSE","enrichedFF","TRUE","enrichedFF",FALSE
"o__Haloferacales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Helotiales","TRUE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"o__Holosporales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Hyphomicrobiales","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"o__Hyphomonadales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Hypocreales","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"o__Ignavibacteriales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Isosphaerales","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"o__Jatrophihabitantales","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"o__Kiritimatiellales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Ktedonobacterales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Lactobacillales","TRUE","enrichedFFPE","FALSE","enrichedFF",FALSE
"o__Legionellales","FALSE","enrichedFF","FALSE","enrichedFFPE",FALSE
"o__Leptospirales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Magnaporthales","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"o__Maricaulales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Methanobacteriales","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"o__Micrococcales","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"o__Micromonosporales","TRUE","enrichedFFPE","FALSE","enrichedFF",FALSE
"o__Miltoncostaeales","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"o__Mycoplasmatales","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"o__Mycosphaerellales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Myxococcales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Nakamurellales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Natrialbales","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"o__Neisseriales","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"o__Nevskiales","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"o__Nitrosomonadales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Nitrospirales","FALSE","enrichedFF","FALSE","enrichedFFPE",FALSE
"o__Nostocales","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"o__Oceanospirillales","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"o__Opitutales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Ortervirales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Parachlamydiales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Pasteurellales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Pelagibacterales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Phycisphaerales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Pirellulales","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"o__Piroplasmida","TRUE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"o__Planctomycetales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Primates","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"o__Propionibacteriales","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"o__Pseudomonadales","TRUE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"o__Pseudonocardiales","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"o__Pyrenomonadales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Rhodobacterales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Rhodocyclales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Rhodospirillales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Rickettsiales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Rubrobacterales","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"o__Saccharomycetales","TRUE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"o__Saprospirales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Schizosaccharomycetales","TRUE","enrichedFFPE","FALSE","enrichedFF",FALSE
"o__Selenomonadales","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"o__Silvanigrellales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Sordariales","TRUE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"o__Sphingobacteriales","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"o__Sphingomonadales","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"o__Spirochaetales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Streptomycetales","TRUE","enrichedFF","TRUE","enrichedFF",TRUE
"o__Streptosporangiales","TRUE","enrichedFFPE","FALSE","enrichedFF",FALSE
"o__Synechococcales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Synergistales","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"o__Tepidiformales","FALSE","enrichedFF","FALSE","enrichedFFPE",FALSE
"o__Thermales","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"o__Thermoproteales","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"o__Tissierellales","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"o__Tremellales","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"o__Trueperales","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"o__Trypanosomatida","TRUE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"o__unclassified-f__Unikaryonidae","FALSE","enrichedFF","TRUE","enrichedFF",FALSE
"o__unclassified-f__Vicinamibacteraceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"o__unclassified-g__Bigelowiella","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"o__unclassified-g__Candidatus","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"o__unclassified-g__Ndongobacter","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"o__unclassified-s__endosymbiont of unidentified scaly snail isolate Monju","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Ustilaginales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Veillonellales","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"o__Verrucomicrobiales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Vibrionales","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"o__Xanthomonadales","TRUE","enrichedFFPE","TRUE","enrichedFFPE",TRUE
"f__Acetobacteraceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Acidaminococcaceae","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__Acidimicrobiaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Acidobacteriaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Actinomycetaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Actinopolymorphaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Aerococcaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Akkermansiaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Alcaligenaceae","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__Alteromonadaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Anaerolineaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Aphanizomenonaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Archangiaceae","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__Aspergillaceae","TRUE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__Atopobiaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Azonexaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Babesiidae","TRUE","enrichedFFPE","TRUE","enrichedFFPE",TRUE
"f__Bacillaceae","TRUE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Bacteroidaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Barnesiellaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Bifidobacteriaceae","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__Borreliaceae","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__Brachyspiraceae","TRUE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Bradyrhizobiaceae","FALSE","enrichedFFPE","TRUE","enrichedFFPE",FALSE
"f__Brucellaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Bruguierivoracaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Bryobacteraceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Burkholderiaceae","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__Caldilineaceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Campylobacteraceae","FALSE","enrichedFF","FALSE","enrichedFFPE",FALSE
"f__Candidatus","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"f__Carnobacteriaceae","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"f__Caulobacteraceae","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"f__Ceratobasidiaceae","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
