"gene","n","rank"
"OR10R2",520,1
"OR10Z1",495,2
"KRTAP2-4",492,3
"DEFB112",489,4
"RBMY2FP",481,5
"KRTAP13-1",474,6
"OR5D18",473,7
"OR5F1",473,8
"OR5M1",472,9
"OR4A15",471,10
"IQCF2",467,11
"OR5L1",466,12
"MYF5",462,13
"OR1S1",461,14
"TMEM202",460,15
"KRTAP9-9",455,16
"OR5D16",454,17
"TEX13A",454,18
"OR9G4",453,19
"C10orf120",447,20
"OR5B3",441,21
"ZNRF4",441,22
"DEFB104B",439,23
"OR5M3",438,24
"OR52B4",437,25
"OR51L1",436,26
"OR4A5",434,27
"OR4C15",434,28
"OR4S1",432,29
"OR6K6",432,30
"KRTAP4-5",430,31
"SPANXN5",430,32
"LINC00305",429,33
"NPS",429,34
"LGALS16",428,35
"OR4K17",428,36
"OR4N4",427,37
"NEUROG1",425,38
"OR4N5",425,39
"OR6N2",424,40
"OPN1MW",423,41
"GALP",422,42
"OR5I1",422,43
"OR6C75",422,44
"OR10T2",421,45
"OR6S1",420,46
"ANKRD63",419,47
"OR4X2",418,48
"LACRT",417,49
"OR6C74",417,50
"OTOR",416,51
"DRD3",415,52
"USP29",415,53
"CRYGA",414,54
"DUSP21",414,55
"KRTAP4-2",413,56
"MOS",412,57
"CLRN2",411,58
"OR4P4",410,59
"OR8H1",410,60
"BSPH1",409,61
"OR6C65",408,62
"BANF2",407,63
"OR11G2",407,64
"OR4D11",407,65
"OR10G8",406,66
"OR1A2",406,67
"OR51G1",406,68
"OR5AR1",406,69
"PAGE3",406,70
"SPANXN2",406,71
"LINC00477",405,72
"OR52A5",405,73
"LCN9",404,74
"FTMT",403,75
"GPR119",403,76
"KRTAP19-4",403,77
"OR6Y1",403,78
"OR5M8",402,79
"OR5T1",402,80
"TPD52L3",401,81
"DEFB115",400,82
"KRTAP6-3",400,83
"OR6N1",400,84
"OR7G1",399,85
"PRG3",397,86
"SPEM1",397,87
"OR2Z1",396,88
"PSKH2",396,89
"UCMA",396,90
"IFNA7",394,91
"KRTAP2-2",394,92
"NOX3",394,93
"OR4B1",394,94
"OR5L2",394,95
"AMELY",393,96
"OR11A1",393,97
"OR2W1",393,98
"OR6K2",393,99
"OR8I2",392,100
"TARM1",392,101
"IFNA10",391,102
"OR5B17",391,103
"RESP18",391,104
"OR4M1",390,105
"ADAM3A",389,106
"OR12D3",389,107
"OR2Y1",389,108
"KRTAP8-1",388,109
"OR5A1",388,110
"OR5H15",388,111
"OR6K3",388,112
"PRM2",388,113
"ZP4",388,114
"OR4K5",387,115
"MAGEB16",386,116
"PRM1",386,117
"KRTAP19-6",385,118
"LOC149373",385,119
"CRYGC",384,120
"HTR3D",384,121
"OR10G7",384,122
"LINC00221",383,123
"OR8H2",382,124
"TTTY10",382,125
"OR51A7",381,126
"OR52M1",381,127
"OR4C3",380,128
"LCE3C",379,129
"OR4C45",379,130
"OR9K2",378,131
"OR6Q1",377,132
"VN1R4",377,133
"LYZL2",376,134
"OR52J3",376,135
"ADIG",375,136
"DYTN",375,137
"SLC7A13",375,138
"TGM7",375,139
"KIF2B",374,140
"LCE4A",374,141
"OR5T3",374,142
"DEFB128",373,143
"GRXCR1",372,144
"HBZ",372,145
"KRTAP4-12",372,146
"OR6C4",372,147
"SPATA19",372,148
"OR4C12",371,149
"PIN1P1",371,150
"IL9",370,151
"LRRC3C",370,152
"CST11",369,153
"FTHL17",369,154
"LOC284395",369,155
"OR5K3",369,156
"KRTAP9-8",368,157
"OR4K2",368,158
"DEFB129",367,159
"OR7G3",367,160
"OR8D4",367,161
"IQCF6",366,162
"OR10J3",366,163
"OR14A16",366,164
"OR1M1",366,165
"OR6P1",366,166
"WFDC9",366,167
"CRYGD",365,168
"OR5M10",365,169
"PRAMEF20",365,170
"MIR1185-1",364,171
"OR14C36",364,172
"OR6C76",364,173
"CABS1",363,174
"KRTAP20-4",362,175
"ELSPBP1",361,176
"OR7A17",361,177
"SSX4B",361,178
"IFNA16",360,179
"IFNA4",360,180
"MRGPRX1",360,181
"OR10G9",360,182
"DEFB135",359,183
"OR51V1",359,184
"RTP1",359,185
"VPREB1",359,186
"C20orf173",358,187
"OR10G4",358,188
"TRIM60",358,189
"KRTAP20-1",357,190
"DPPA5",356,191
"GPR32",356,192
"HTR1E",356,193
"IRGC",356,194
"OR2G2",356,195
"OR4D10",356,196
"KRTAP2-1",355,197
"DEFB116",354,198
"KCNG4",354,199
"OR2B3",354,200
"OR5H14",354,201
"DPRX",353,202
"OR10W1",353,203
"OR2G3",353,204
"DSCR10",352,205
"LRIT1",352,206
"OR4A16",352,207
"OR52A1",352,208
"OR5H1",351,209
"SPANXN1",351,210
"DEFB107A",350,211
"DEFB125",350,212
"OR6C3",349,213
"KRTAP9-2",348,214
"MRGPRX2",348,215
"OR10A7",348,216
"SNORA35",348,217
"CSN3",347,218
"LGALS13",347,219
"PPP3R2",347,220
"SAMD7",347,221
"VSX2",347,222
"ASB10",346,223
"DEFB132",346,224
"OR4D9",346,225
"OR5AP2",346,226
"AP1B1P1",345,227
"TTTY20",345,228
"CYP11B1",344,229
"KRTAP11-1",344,230
"KRTAP19-5",344,231
"OR4K1",344,232
"OR4K13",344,233
"PATE3",344,234
"WFDC11",344,235
"DUPD1",343,236
"HTN3",343,237
"LOC100505841",343,238
"OR7C2",343,239
"OTOS",343,240
"SPPL2C",343,241
"TAAR8",343,242
"TMEM225",343,243
"TMEM235",343,244
"IFNW1",342,245
"KRTAP17-1",342,246
"TMEM239",342,247
"CSH1",341,248
"HHLA1",341,249
"LALBA",341,250
"NLRP13",341,251
"OR7G2",341,252
"UTF1",341,253
"ACTRT1",340,254
"OR1I1",340,255
"OR51F1",340,256
"OR8H3",340,257
"POU4F2",340,258
"TMED11P",340,259
"C9orf57",339,260
"FAM47B",339,261
"HTN1",339,262
"IFNA14",339,263
"OR10K1",339,264
"OR2V2",339,265
"OR51A2",339,266
"TGIF2LY",339,267
"BPIFB6",338,268
"ESX1",338,269
"KRTAP7-1",338,270
"OR51T1",338,271
"TECRL",338,272
"GOT1L1",337,273
"MIR572",337,274
"OR13C4",337,275
"TMCO5A",337,276
"FERD3L",336,277
"IFNA6",336,278
"OR4Q3",336,279
"PRKACG",336,280
"RBPJL",336,281
"CACNG3",335,282
"CYLC2",335,283
"OLIG3",335,284
"CYLC1",334,285
"NOTO",334,286
"OR13C8",334,287
"KRT38",333,288
"NEU2",333,289
"OR2M4",333,290
"OR4E2",333,291
"OR51F2",333,292
"OR5A2",333,293
"PRM3",333,294
"CSN2",332,295
"GALNTL5",332,296
"LOC284933",332,297
"PRDM14",332,298
"ZPBP2",332,299
"LYZL4",331,300
"MIR551B",331,301
"MYOD1",331,302
"RNASE9",331,303
"FLJ30679",330,304
"GUCA1C",330,305
"LRRC30",330,306
"MBD3L4",330,307
"OR5AN1",330,308
"OR5H2",330,309
"OR9Q2",330,310
"PFN3",330,311
"C7orf33",329,312
"LOC100129620",329,313
"OR4A47",329,314
"ANKRD34C",328,315
"OPN5",328,316
"TAAR2",328,317
"DEFB134",327,318
"GTSF1L",327,319
"OR10H4",327,320
"CIB3",326,321
"IL25",326,322
"OR2T1",326,323
"ARL5C",325,324
"DMRTC2",325,325
"LCE1A",325,326
"BSX",324,327
"C7orf66",324,328
"DNAJB8",324,329
"LYZL1",324,330
"NCR2",324,331
"PRR20A",324,332
"UNCX",324,333
"CDY2B",323,334
"PHOX2A",323,335
"TPRX1",323,336
"MMP26",322,337
"NOBOX",322,338
"OR10C1",322,339
"OR5K4",322,340
"EIF4E1B",321,341
"LINC00319",321,342
"SAA3P",321,343
"EBLN1",320,344
"KRTAP27-1",320,345
"MMD2",320,346
"CXXC1P1",319,347
"OR12D2",319,348
"SERPINA12",319,349
"SMR3A",319,350
"IFNA17",318,351
"OR10H5",318,352
"CCDC166",317,353
"OR2W5",317,354
"OR5B2",317,355
"CLDN17",316,356
"CRH",316,357
"FOXR2",316,358
"OR10J1",316,359
"ASZ1",315,360
"CSN1S1",315,361
"MIR137HG",315,362
"OR14J1",315,363
"OR2K2",315,364
"IFNA2",314,365
"SCGB1D4",314,366
"SLC18A3",314,367
"CAPZA3",313,368
"CTXN3",313,369
"PADI6",313,370
"SPANXN3",313,371
"SYCN",313,372
"ADAD1",312,373
"OR10H3",312,374
"OR2AK2",312,375
"PATE1",312,376
"SSTR4",312,377
"FAM187B",311,378
"GML",311,379
"NPBWR2",311,380
"SCGB1D1",311,381
"ZBTB20-AS1",311,382
"C3orf79",310,383
"DNTT",310,384
"KRTAP4-7",310,385
"MIR651",310,386
"SULT6B1",310,387
"SYCP1",310,388
"TMEM114",310,389
"HTR1A",309,390
"KRTAP19-7",309,391
"TECTB",309,392
"GTF2A1L",308,393
"KRTAP20-2",308,394
"ACTL7B",307,395
"C2orf83",307,396
"GRXCR2",307,397
"LCN8",307,398
"MBD3L5",307,399
"MRGPRE",307,400
"VCY",307,401
"GPR139",306,402
"HGC6.3",306,403
"KRTAP19-3",306,404
"PNPLA5",306,405
"GPR148",305,406
"HDGFL1",305,407
"NEUROD6",305,408
"OTOL1",305,409
"IFNA8",304,410
"LCE2D",304,411
"MSGN1",304,412
"OR2C3",304,413
"OR4C13",304,414
"ZIM3",304,415
"ASB18",303,416
"BMP10",303,417
"FAM138A",303,418
"FSCB",303,419
"GJA10",303,420
"PRAMEF12",303,421
"SCGB1C1",303,422
"AADACL4",302,423
"CCDC63",302,424
"KLK9",302,425
"KRTAP21-2",302,426
"NEUROD4",302,427
"OR1G1",302,428
"OR5AU1",302,429
"ADAM6",301,430
"OR10K2",301,431
"ATXN3L",300,432
"CPLX4",300,433
"DEFA4",300,434
"KCNK4",300,435
"LCE5A",300,436
"LOC283299",300,437
"MIR1272",300,438
"NKX2-6",300,439
"PHOX2B",300,440
"PRAMEF13",300,441
"RLN3",300,442
"TNP2",300,443
"FOXR1",299,444
"MBD3L3",299,445
"ODF1",299,446
"PRDM12",299,447
"PROP1",299,448
"TSGA13",299,449
"VHLL",299,450
"IQCJ",298,451
"KRTAP6-1",298,452
"OR2F2",298,453
"OR4K15",298,454
"OR8B4",298,455
"GSX2",297,456
"NLRP5",297,457
"TAS2R1",297,458
"OR10A3",296,459
"OR10J5",296,460
"C7orf65",295,461
"KRT25",295,462
"SLC25A31",295,463
"C18orf63",294,464
"HIGD2B",294,465
"IFNB1",294,466
"MCHR2",294,467
"OR51S1",294,468
"OR8D2",294,469
"ADAM7",293,470
"CATSPER4",293,471
"FGF6",293,472
"KRTAP1-1",293,473
"LCE1D",293,474
"LCE2B",293,475
"MLN",293,476
"OR1A1",293,477
"OR4D5",293,478
"SLC32A1",293,479
"SPAM1",293,480
"TEX28",293,481
"C4orf17",292,482
"DNMT3L",292,483
"ERAS",292,484
"FABP9",292,485
"LOC644669",292,486
"OR6C2",292,487
"AWAT2",291,488
"LCE2C",291,489
"LMAN1L",291,490
"OR51G2",291,491
"PATE2",291,492
"SLC17A6",291,493
"SMCP",291,494
"MAGEA10-MAGEA5",290,495
"OR10A6",290,496
"OR56A1",290,497
"OR6X1",290,498
"PRR23C",290,499
"RAX",290,500
"CST9",289,501
"GH2",289,502
"KRTAP13-2",289,503
"LINC00303",289,504
"MIR329-1",289,505
"NXPH2",289,506
"AVP",288,507
"FLJ33534",288,508
"HMGB4",288,509
"LHX3",288,510
"OR4F5",288,511
"PRR23A",288,512
"SOX3",288,513
"KRT28",287,514
"MS4A3",287,515
"OR56A4",287,516
"OR5C1",287,517
"OR5V1",287,518
"PRR20E",287,519
"SPATA8",287,520
"TPPP2",287,521
"ZSWIM2",287,522
"KRT82",286,523
"OR4N2",286,524
"PDILT",286,525
"PRAMEF19",286,526
"VGLL2",286,527
"WNT8A",286,528
"OR51A4",285,529
"OR8B8",285,530
"RGS21",285,531
"COX8C",284,532
"FAM170B",284,533
"GABRR3",284,534
"KRTAP4-6",284,535
"LELP1",284,536
"LOC100507334",284,537
"MC3R",284,538
"OR1S2",284,539
"OR6B2",284,540
"PRSS38",284,541
"BPIFC",283,542
"FAM170A",282,543
"KRT26",282,544
"NXNL1",282,545
"OR4C46",282,546
"OR4D1",282,547
"SPINT3",282,548
"BTBD17",281,549
"FAM138E",281,550
"GGNBP1",281,551
"KRTAP19-8",281,552
"MIR216A",281,553
"OR2H1",281,554
"OR2M5",281,555
"DHRS7C",280,556
"HMX2",280,557
"KRTAP1-5",280,558
"OR9I1",280,559
"PDYN",280,560
"TMPRSS11BNL",280,561
"GFRAL",279,562
"VRTN",279,563
"DSCR4",278,564
"NPY2R",278,565
"PRR18",278,566
"TFDP3",278,567
"BRS3",277,568
"FGF3",277,569
"AMBN",276,570
"CCDC27",276,571
"DEFB105A",276,572
"FAM138D",276,573
"INSM2",276,574
"OR10G2",276,575
"OR10P1",276,576
"OR2M7",276,577
"RAG2",276,578
"SNORA70D",276,579
"ZAR1L",276,580
"FRMD8P1",275,581
"TAAR6",275,582
"TTTY14",275,583
"ZSCAN10",275,584
"KRT37",274,585
"LOC100131635",274,586
"MIR1231",274,587
"PABPN1L",274,588
"TGM6",274,589
"MIR1305",273,590
"MT1B",273,591
"MYL10",273,592
"MYL7",273,593
"OR4F6",273,594
"OR4M2",273,595
"OR4N3P",273,596
"OR9G1",273,597
"POTEA",273,598
"THEG",273,599
"C17orf98",272,600
"OR11H6",272,601
"FAM47C",271,602
"IL22",271,603
"PTH",271,604
"CHRNB3",270,605
"FAM138C",270,606
"IL31",270,607
"KBTBD13",270,608
"KRT84",270,609
"MIR196A2",270,610
"RGSL1",270,611
"RXFP3",270,612
"SMR3B",270,613
"TAS2R7",270,614
"CD300LD",269,615
"CEACAM18",269,616
"CLPS",269,617
"LOC100507387",269,618
"MIR15B",269,619
"MIR4281",269,620
"OR7A10",269,621
"SBF1P1",269,622
"IL4",268,623
"MAGEB6",268,624
"OPALIN",268,625
"OR11H1",268,626
"OR13C9",268,627
"OR2J2",268,628
"OR4F15",268,629
"OR6C70",268,630
"XAGE5",268,631
"FAM138B",267,632
"GABRA6",267,633
"OR11L1",267,634
"OR2T27",267,635
"OR6B3",267,636
"OR6F1",267,637
"RAB9BP1",267,638
"CCDC140",266,639
"DCD",266,640
"LINC00330",266,641
"LINC00336",266,642
"MIR4648",266,643
"OR13F1",266,644
"PRPS1L1",266,645
"DSCAM-AS1",265,646
"EVX2",265,647
"GPR6",265,648
"LOC100289361",265,649
"LOC286059",265,650
"MIR218-1",265,651
"MIR412",265,652
"OC90",265,653
"OR51D1",265,654
"TDGF1P3",265,655
"GJA8",264,656
"MBL1P",264,657
"OR11H4",264,658
"OR6B1",264,659
"PRSS55",264,660
"SMAD5-AS1",264,661
"TMPRSS12",264,662
"UBE2NL",264,663
"KLHL1",263,664
"LCE3A",263,665
"LINC00189",263,666
"MGC12916",263,667
"MIR132",263,668
"OR56A5",263,669
"OR7D4",263,670
"PRAMEF7",263,671
"C12orf77",262,672
"DEC1",262,673
"DPPA2",262,674
"FEZF2",262,675
"KRTAP12-3",262,676
"TAS1R2",262,677
"TRIM64",262,678
"TRIM64C",262,679
"C1orf185",261,680
"IQCF1",261,681
"NPHS2",261,682
"OR4C6",261,683
"TRIM42",261,684
"ARHGAP36",260,685
"FABP12",260,686
"LOC100144595",260,687
"NTSR2",260,688
"PNLIPRP1",260,689
"UBE2U",260,690
"C14orf180",259,691
"CELA1",259,692
"CT62",259,693
"OR5J2",259,694
"OR8G1",259,695
"ATP6V1G3",258,696
"EIF3IP1",258,697
"FAM197Y5",258,698
"LOC158434",258,699
"MIR181C",258,700
"MIR411",258,701
"MIR450A2",258,702
"OR1D2",258,703
"PMCHL1",258,704
"SLC5A7",258,705
"C2orf80",257,706
"CSH2",257,707
"CYP26C1",257,708
"CYP4F35P",257,709
"LGALS14",257,710
"MRGPRX4",257,711
"NHLH2",257,712
"RNF151",257,713
"SBK2",257,714
"TCF24",257,715
"TEPP",257,716
"FLJ40194",256,717
"MBL2",256,718
"MIR193A",256,719
"OR8D1",256,720
"STARD6",256,721
"EGOT",255,722
"LOC643201",255,723
"MIR1225",255,724
"MIR766",255,725
"NANOGNB",255,726
"OPN1LW",255,727
"OR1E2",255,728
"RNASE13",255,729
"TCAM1P",255,730
"TCHHL1",255,731
"FAM215A",254,732
"INSL5",254,733
"OR14I1",254,734
"OR4F17",254,735
"PRAMEF8",254,736
"TMEM196",254,737
"WFDC6",254,738
"DKFZP434H168",253,739
"MYADML",253,740
"OR1B1",253,741
"OR5AK2",253,742
"PGK2",253,743
"POU3F4",253,744
"DBX2",252,745
"KLRF2",252,746
"MIR1238",252,747
"OR2F1",252,748
"CRISP2",251,749
"GIP",251,750
"LOC349160",251,751
"LOC730668",251,752
"MBD3L2",251,753
"NKX1-2",251,754
"OR4D2",251,755
"PANX3",251,756
"C8orf87",250,757
"HOXB1",250,758
"KRT74",250,759
"LIM2",250,760
"LINC00102",250,761
"MYF6",250,762
"OTX2",250,763
"CPLX3",249,764
"FAM181A",249,765
"MIR599",249,766
"OR1C1",249,767
"TRIM64B",249,768
"GPR101",248,769
"MIR101-2",248,770
"MIR199B",248,771
"OR10S1",248,772
"RBMY1A1",248,773
"RPL13AP17",248,774
"SNORA11C",248,775
"STH",248,776
"ANKRD18DP",247,777
"GUCY2F",247,778
"HMX1",247,779
"HRK",247,780
"MAGEB10",247,781
"MIR340",247,782
"OR13C5",247,783
"OR1F1",247,784
"PABPC1L2A",247,785
"PASD1",247,786
"SNORD115-3",247,787
"SSX5",247,788
"C20orf141",246,789
"C3orf22",246,790
"HCRTR2",246,791
"ITPK1-AS1",246,792
"LINC00520",246,793
"LOC442028",246,794
"OR52L1",246,795
"PTF1A",246,796
"RHAG",246,797
"SNORD115-30",246,798
"CACNG2",245,799
"CGB1",245,800
"FAM9A",245,801
"FAM9B",245,802
"GNAT3",245,803
"LOC100505715",245,804
"LOC100507377",245,805
"MIR455",245,806
"NKX6-3",245,807
"PRAMEF18",245,808
"PRDM13",245,809
"RHO",245,810
"RPL29P2",245,811
"AQP2",244,812
"DEFB126",244,813
"KCNK16",244,814
"LOC200772",244,815
"LRRC38",244,816
"OR52E4",244,817
"PABPC1L2B",244,818
"SNORA70B",244,819
"C3P1",243,820
"C8orf74",243,821
"GSTA5",243,822
"NYX",243,823
"SLC36A3",243,824
"STATH",243,825
"ADAM2",242,826
"AQP10",242,827
"CCKBR",242,828
"DCAF8L1",242,829
"EDDM3A",242,830
"EFCAB9",242,831
"KCNK18",242,832
"LECT2",242,833
"MIRLET7I",242,834
"OR5B12",242,835
"ZAR1",242,836
"BSND",241,837
"KRT33A",241,838
"LCE1B",241,839
"OR1L1",241,840
"OR2M3",241,841
"PYDC1",241,842
"SAG",241,843
"TBC1D28",241,844
"CARD18",240,845
"MIR1275",240,846
"MRGPRD",240,847
"OR52B2",240,848
"OR6M1",240,849
"PRAMEF2",240,850
"RIT2",240,851
"CCL1",239,852
"CNPY1",239,853
"GPR149",239,854
"LCE1F",239,855
"MIR148B",239,856
"PRAMEF9",239,857
"C11orf94",238,858
"GK2",238,859
"HTR3B",238,860
"MIR1185-2",238,861
"MIR1284",238,862
"MIR550A3",238,863
"MIR592",238,864
"MT4",238,865
"OR10H2",238,866
"OR2G6",238,867
"TREML4",238,868
"CALHM3",237,869
"CLEC19A",237,870
"DEFB108B",237,871
"EDDM3B",237,872
"LINC00311",237,873
"LOC100506804",237,874
"MS4A5",237,875
"OR10V1",237,876
"OR13C2",237,877
"OTUD6A",237,878
"PAQR9",237,879
"PLA2G2C",237,880
"SPATA3",237,881
"SPINK14",237,882
"TAS2R9",237,883
"ADAM30",236,884
"BCORP1",236,885
"LENEP",236,886
"NPPB",236,887
"NUP210P1",236,888
"OPRM1",236,889
"OR10H1",236,890
"SEL1L2",236,891
"TMEM215",236,892
"TMPRSS11B",236,893
"CCDC70",235,894
"GAL3ST3",235,895
"LINC00466",235,896
"LRTM2",235,897
"RSPH6A",235,898
"CHAT",234,899
"CRCT1",234,900
"KRT35",234,901
"LHX5",234,902
"PAGE4",234,903
"PRAMEF1",234,904
"GNAT1",233,905
"HAPLN4",233,906
"KRTAP12-2",233,907
"KRTAP12-4",233,908
"KRTAP21-1",233,909
"LCE1E",233,910
"LCE3E",233,911
"LINC00426",233,912
"LOC284865",233,913
"MIR545",233,914
"ONECUT3",233,915
"OR2T10",233,916
"OR52E6",233,917
"PDHA2",233,918
"SCN10A",233,919
"SNORD115-34",233,920
"TSPAN16",233,921
"FFAR1",232,922
"LOC100506178",232,923
"METTL11B",232,924
"OR52E8",232,925
"POU1F1",232,926
"PSMA8",232,927
"PTX4",232,928
"RXFP2",232,929
"TAS2R8",232,930
"TEX19",232,931
"ZDHHC19",232,932
"ACTL7A",231,933
"FGF14-IT1",231,934
"KRT71",231,935
"KRTAP16-1",231,936
"OR4F4",231,937
"OR56A3",231,938
"OR5M11",231,939
"SHISA8",231,940
"TMEM88B",231,941
"ECEL1P2",230,942
"EPO",230,943
"GJD2",230,944
"GPR33",230,945
"KLK15",230,946
"LINC00515",230,947
"LOC100288123",230,948
"MC5R",230,949
"MIR613",230,950
"OR10Q1",230,951
"OR2J3",230,952
"OR2M2",230,953
"OR2T4",230,954
"OTP",230,955
"PRR9",230,956
"RAD21-AS1",230,957
"TSSK1B",230,958
"UGT2A2",230,959
"ARGFX",229,960
"FAM41C",229,961
"FGF21",229,962
"GHRHR",229,963
"LINC00511",229,964
"MMP27",229,965
"NLRP4",229,966
"SEMG2",229,967
"SLC22A8",229,968
"SLC34A1",229,969
"TKTL2",229,970
"ART1",228,971
"BARHL1",228,972
"C1orf158",228,973
"DBX1",228,974
"FAM66E",228,975
"FUT9",228,976
"GALR3",228,977
"LINC00327",228,978
"PDE6H",228,979
"SNORD115-16",228,980
"WNT9B",228,981
"GPR31",227,982
"LOC153684",227,983
"OR2AT4",227,984
"PTPRVP",227,985
"RBP3",227,986
"RDH8",227,987
"RFPL3",227,988
"ABCC12",226,989
"ADARB2-AS1",226,990
"C1orf68",226,991
"CAHM",226,992
"IL36A",226,993
"LOC574538",226,994
"MIR100",226,995
"MIR575",226,996
"NEUROG2",226,997
"PAGE1",226,998
"PNMA5",226,999
"RBM26-AS1",226,1000
"RFPL4B",226,1001
"BTG4",225,1002
"BTNL2",225,1003
"C17orf77",225,1004
"DNAJC5G",225,1005
"FBXO47",225,1006
"GJD4",225,1007
"KRT76",225,1008
"KRTAP3-2",225,1009
"LCNL1",225,1010
"LOR",225,1011
"MIR493",225,1012
"MTNR1B",225,1013
"RBMY2EP",225,1014
"SNORD127",225,1015
"SSX4",225,1016
"TLX3",225,1017
"USP26",225,1018
"APOC4",224,1019
"F9",224,1020
"HTR3C",224,1021
"IL13",224,1022
"LOC100287944",224,1023
"LOC441204",224,1024
"LUZP4",224,1025
"MIR598",224,1026
"NAA11",224,1027
"OR2A25",224,1028
"RMST",224,1029
"SLC2A7",224,1030
"SOHLH1",224,1031
"TBR1",224,1032
"ALOX12P2",223,1033
"C15orf56",223,1034
"C2orf78",223,1035
"C4orf51",223,1036
"CRYAA",223,1037
"CYP2G1P",223,1038
"FOXB2",223,1039
"FRG2",223,1040
"G6PC2",223,1041
"GPR12",223,1042
"KRT77",223,1043
"LCE1C",223,1044
"LIN28A",223,1045
"OR1E1",223,1046
"OR1J2",223,1047
"OR8A1",223,1048
"OTOP2",223,1049
"PIRT",223,1050
"SMYD1",223,1051
"SPAG11B",223,1052
"CTXN2",222,1053
"CXorf49B",222,1054
"FGF23",222,1055
"FLJ12825",222,1056
"GDF2",222,1057
"HSFY1",222,1058
"IL2",222,1059
"MAGEB1",222,1060
"OLIG2",222,1061
"OR52N5",222,1062
"OR8B12",222,1063
"PATE4",222,1064
"PMCHL2",222,1065
"PRORSD1P",222,1066
"RAD21L1",222,1067
"RS1",222,1068
"SALL3",222,1069
"SLC22A24",222,1070
"SNORD115-31",222,1071
"TSHB",222,1072
"AIPL1",221,1073
"C20orf203",221,1074
"CCL27",221,1075
"CHEK2P2",221,1076
"IAPP",221,1077
"IL17REL",221,1078
"MRPL23-AS1",221,1079
"NAT16",221,1080
"OR1F2P",221,1081
"PRAMEF17",221,1082
"WNT1",221,1083
"CES5A",220,1084
"FEV",220,1085
"IL36B",220,1086
"KLHL34",220,1087
"KRT19P2",220,1088
"LRRC3B",220,1089
"SSX7",220,1090
"TAS2R41",220,1091
"AACSP1",219,1092
"ADAM18",219,1093
"ARMS2",219,1094
"C12orf40",219,1095
"C4orf45",219,1096
"CGB8",219,1097
"DAZ3",219,1098
"DMRT1",219,1099
"MCCD1",219,1100
"MIR1289-2",219,1101
"MIR569",219,1102
"MIR654",219,1103
"NR5A1",219,1104
"ODF3L2",219,1105
"SGCZ",219,1106
"TRIML2",219,1107
"TRPC7",219,1108
"ADRB3",218,1109
"COX7B2",218,1110
"DCAF12L1",218,1111
"GKN1",218,1112
"GRK1",218,1113
"IFNA21",218,1114
"IL17F",218,1115
"MAS1",218,1116
"MIR563",218,1117
"PYDC2",218,1118
"ZNF503-AS1",218,1119
"ARHGEF26-AS1",217,1120
"ATOH7",217,1121
"BARHL2",217,1122
"C22orf42",217,1123
"DCAF4L2",217,1124
"GLP1R",217,1125
"OR51B2",217,1126
"S100A7A",217,1127
"SEC14L3",217,1128
"TAL2",217,1129
"ASB15",216,1130
"GYG2P1",216,1131
"HOTAIR",216,1132
"IGFL3",216,1133
"KRT27",216,1134
"KRT33B",216,1135
"KRTAP10-4",216,1136
"KRTAP3-3",216,1137
"LOC441601",216,1138
"LOC442497",216,1139
"MIR210HG",216,1140
"ODF3",216,1141
"OR2L13",216,1142
"OR6T1",216,1143
"PAX4",216,1144
"PRAMEF15",216,1145
"SPATA16",216,1146
"ST7-AS2",216,1147
"TMCO2",216,1148
"ADAMTS9-AS2",215,1149
"C20orf202",215,1150
"CCDC83",215,1151
"DDX4",215,1152
"DDX53",215,1153
"LY6G6F",215,1154
"OLIG1",215,1155
"OR2T11",215,1156
"SERPINB12",215,1157
"SHCBP1L",215,1158
"AQP12A",214,1159
"DCAF8L2",214,1160
"DEFB124",214,1161
"FMO9P",214,1162
"GAST",214,1163
"GPR26",214,1164
"NGB",214,1165
"OR2H2",214,1166
"OR5B21",214,1167
"PPY",214,1168
"SIAH3",214,1169
"C1QL2",213,1170
"DAZ1",213,1171
"FOXI1",213,1172
"KRT32",213,1173
"MIR506",213,1174
"MIR548J",213,1175
"PDCL2",213,1176
"SERPINA9",213,1177
"SERPINB10",213,1178
"ZIC3",213,1179
"C1orf94",212,1180
"CALHM1",212,1181
"CDCP2",212,1182
"CER1",212,1183
"FAM47A",212,1184
"GABRA5",212,1185
"HCRT",212,1186
"IL20",212,1187
"KIR3DL3",212,1188
"LHX1",212,1189
"LOC100129175",212,1190
"ZPBP",212,1191
"CASC2",211,1192
"CNBD1",211,1193
"DGAT2L6",211,1194
"FMR1NB",211,1195
"HOXD12",211,1196
"IL22RA2",211,1197
"KLK2",211,1198
"KRTAP12-1",211,1199
"LOC284344",211,1200
"MAGEC3",211,1201
"OR2D3",211,1202
"OR5P3",211,1203
"PRAMEF10",211,1204
"RPL3L",211,1205
"SNORD11B",211,1206
"BPIFB4",210,1207
"DICER1-AS1",210,1208
"HTR3E",210,1209
"KCNJ4",210,1210
"KRTAP5-11",210,1211
"LIN28B",210,1212
"NMUR2",210,1213
"OR1J1",210,1214
"RNASE8",210,1215
"TNP1",210,1216
"WDFY3-AS2",210,1217
"AMTN",209,1218
"BEND2",209,1219
"C17orf64",209,1220
"DEFB103B",209,1221
"GMNC",209,1222
"KCTD8",209,1223
"KRTAP10-5",209,1224
"MGC16275",209,1225
"MIR561",209,1226
"SEBOX",209,1227
"SPDYE4",209,1228
"TCP10L2",209,1229
"ZNF525",209,1230
"ZP2",209,1231
