"term","estimate","std.error","statistic","p.value","gene"
"ARFGAP3",-3669950.97738293,8798151.41699049,-0.417127508205386,0.676775199809286,"ARFGAP3"
"ARFGEF2",-18443706.7030879,8384998.25170899,-2.19960769810879,0.0283198533781181,"ARFGEF2"
"ARFIP2",-19433238.1993104,4573815.45511725,-4.24880242546041,2.59140112539846e-05,"ARFIP2"
"ARFRP1",5266101.92714912,4936051.5644078,1.06686525828077,0.286579222886766,"ARFRP1"
"ARGFX",-1936197.55170702,3454981.00496086,-0.560407582249199,0.575467919382277,"ARGFX"
"ARHGAP19",714518.482762954,4884084.28811462,0.146295280878286,0.883750883486251,"ARHGAP19"
"`ARHGAP19-SLIT1`",5584830.47811342,2947376.71392784,1.8948478664849,0.0587247151593139,"ARHGAP19-SLIT1"
"ARHGAP40",942924.527642567,1592906.48629539,0.591952218008428,0.554166615432781,"ARHGAP40"
"`ARHGAP5-AS1`",4948794.14701088,3189502.63735875,1.55158804041906,0.121432472891109,"ARHGAP5-AS1"
"ARHGAP6",622265.871675208,2739177.52851465,0.22717252357595,0.820388161599416,"ARHGAP6"
"ARHGDIG",-445079.456560382,1601488.60127231,-0.277916093943339,0.781198721483099,"ARHGDIG"
"ARHGEF1",6357808.36403955,6531303.60789637,0.973436352943834,0.330836134801202,"ARHGEF1"
"ARHGEF15",3812116.0883914,3938701.83135404,0.96786104955827,0.333610484671087,"ARHGEF15"
"ARHGEF18",-2481395.14331944,7437244.78181048,-0.333644409471135,0.738796387835114,"ARHGEF18"
"ARHGEF26",3462923.3805718,2504306.7832666,1.38278720630816,0.167385342211358,"ARHGEF26"
"`ARHGEF26-AS1`",4801679.99073745,3115782.28838571,1.54108328063743,0.123968068012134,"ARHGEF26-AS1"
"ARHGEF33",2625946.78102302,3451977.93252724,0.760707870197921,0.44721222283002,"ARHGEF33"
"ARHGEF4",-304074.662967,2236440.77856811,-0.135963655233332,0.891908103614903,"ARHGEF4"
"ARHGEF7",2028125.96864937,9236781.27322623,0.21957063923643,0.826300684647749,"ARHGEF7"
"ARID3A",-2005645.86264983,3633887.88057868,-0.55192838319779,0.581259196730151,"ARID3A"
"ARID3B",-590270.4107773,4771957.1945572,-0.123695663374883,0.901609013218442,"ARID3B"
"ARID3C",3248013.73191538,2698088.67976697,1.20382022884285,0.229263724375272,"ARID3C"
"ARL11",-3754593.41294031,3435817.51477623,-1.09278021803927,0.275048919546422,"ARL11"
"ARL13B",1364821.45256811,6129131.36103933,0.222677794319076,0.823882816001153,"ARL13B"
"ARL17A",6084212.92593181,5657010.93013475,1.07551726540272,0.282693824938606,"ARL17A"
"`ARL2-SNX15`",-975430.279663872,2124955.25317507,-0.459035680024981,0.646420308652924,"ARL2-SNX15"
"ARL3",-3807733.61750647,5130379.45454158,-0.742193370148427,0.458340138759608,"ARL3"
"ARL5C",5238610.28568998,4824192.15791815,1.0859041502092,0.278076852019321,"ARL5C"
"ARL6IP5",1960814.61231419,4500192.30088249,0.435717960747961,0.66324098923043,"ARL6IP5"
"ARL6IP6",-6465670.18366504,6011736.12379996,-1.07550798147444,0.282697974827333,"ARL6IP6"
"ARL8B",3896456.40177976,7704971.20342907,0.505706809137152,0.613299068965021,"ARL8B"
"ARL9",-2723482.11900903,2121304.34283471,-1.28387146719816,0.199818148950801,"ARL9"
"ARMC1",-7320255.6625272,7529226.58030446,-0.972245367362977,0.33142752483926,"ARMC1"
"ARMC3",3389961.29467193,1642073.39725924,2.06443956788415,0.0395229834346274,"ARMC3"
"ARMC7",-523938.79256797,4784525.40046956,-0.109506951831952,0.91284704803636,"ARMC7"
"ARMC9",1020816.82123108,5837538.45451941,0.174871108633257,0.861256057473669,"ARMC9"
"ARMCX3",-6511975.86831649,4998095.1116895,-1.30289154623855,0.193248406994526,"ARMCX3"
"ARMCX5",-7529925.96877681,5207342.92852678,-1.4460207580197,0.148836457709346,"ARMCX5"
"`ARMCX5-GPRASP2`",8107873.72170617,4906649.53982561,1.65242568394121,0.0991142197036087,"ARMCX5-GPRASP2"
"ARMCX6",3844170.21466344,4524601.13449041,0.849615270031177,0.395970662798013,"ARMCX6"
"ARMS2",3771447.99593515,2732085.00838213,1.38042849485438,0.168109518768247,"ARMS2"
"ARPC1A",-274142.77661099,10409040.0866807,-0.0263369892255271,0.978999706758482,"ARPC1A"
"ARPC1B",-1760876.24080966,6471977.48896537,-0.272077003328879,0.785682036924142,"ARPC1B"
"ARPC4",-7736505.78664147,6903672.36799647,-1.12063628953567,0.263013776062249,"ARPC4"
"`ARPC4-TTLL3`",737053.891331617,2503048.96980911,0.294462433704534,0.768534297992661,"ARPC4-TTLL3"
"ARPP21",4212170.72474829,2227494.79596711,1.89099015287239,0.0592390781374317,"ARPP21"
"ARR3",3388625.00879902,2397991.15540045,1.4131098862344,0.158283911320559,"ARR3"
"ARSD",-7509936.98712923,4177112.45159764,-1.79787761860633,0.0728367037923504,"ARSD"
"ARSJ",-650135.393547287,2862685.20548619,-0.227106840913327,0.820439204338076,"ARSJ"
"ART1",1450104.11045223,2802906.79701138,0.517357234995618,0.605149683288403,"ART1"
"ART3",-2355143.63726903,1496410.08365406,-1.57386244786459,0.11619069990882,"ART3"
"ART4",3598670.85566957,1742886.772179,2.06477604461386,0.0394909754323616,"ART4"
"ART5",3640443.60363608,2145420.84082041,1.69684359094973,0.090386906748071,"ART5"
"ARV1",-5133879.54973907,6464054.20033233,-0.79421975599696,0.427467481914949,"ARV1"
"ARX",4990.08271974179,1774406.47828742,0.00281225456557057,0.997757339152127,"ARX"
"ASAH1",10667519.7022021,5655606.31554843,1.88618498300967,0.0598850093567289,"ASAH1"
"`ASAP1-IT1`",-965908.507653462,2777702.76747998,-0.347736452928606,0.728193463453885,"ASAP1-IT1"
"ASAP2",-4513956.56944682,6291725.25447209,-0.717443369962531,0.473456223972043,"ASAP2"
"ASB10",3926397.8092338,7055802.34669168,0.556477862659349,0.578148509608199,"ASB10"
"ASB11",4825669.21365946,2920546.53433027,1.65231717999866,0.0991363367856273,"ASB11"
"ASB12",659332.894362557,2422888.60148653,0.272126788643123,0.785643780844043,"ASB12"
"ASB14",1640475.9599087,3500791.05720376,0.468601505517734,0.639571298320929,"ASB14"
"ASB15",4199695.76680229,3291366.50835644,1.27597329441729,0.202593828074604,"ASB15"
"ASB16",4482221.99123916,2495249.38588869,1.79630221195017,0.0730871576985037,"ASB16"
"ASB18",2080571.99548965,3893684.33221021,0.534345318719927,0.593354766746,"ASB18"
"ASB7",-2901843.94416118,7339876.52144202,-0.395353237303653,0.692761211454108,"ASB7"
"ASB9P1",2264480.55969057,2400806.51445144,0.943216600779669,0.34605367868403,"ASB9P1"
"ASCL1",3367506.57093357,1999806.3443935,1.6839163353864,0.0928603928495529,"ASCL1"
"ASCL3",5376506.13601889,1575730.03028235,3.4120731551048,0.000700278874763929,"ASCL3"
"ASCL4",11489478.7570293,14194779.4406182,0.809415800019569,0.418684720462832,"ASCL4"
"ASGR1",-1360896.31727673,1911500.70346683,-0.711951774230848,0.476847126956768,"ASGR1"
"ASGR2",3023544.61995378,1605375.88842196,1.88338733735801,0.0602637723324312,"ASGR2"
"ASPDH",2894112.82627926,2651529.31309065,1.09148815062725,0.275616162363641,"ASPDH"
"ASPG",832181.589260593,1868004.86849914,0.44549219506543,0.6561687866993,"ASPG"
"ASPH",-2202450.37088073,5897006.07397286,-0.37348619676712,0.708954661654034,"ASPH"
"ASTE1",1990621.09451135,7985250.16973521,0.249287254901039,0.803247263708458,"ASTE1"
"ASTL",-2864149.35342033,2233860.9064627,-1.28215205572297,0.20042002179671,"ASTL"
"ASTN1",5809512.14030622,1750482.89552836,3.31880543085953,0.000974118466733626,"ASTN1"
"ASZ1",665598.937331792,2987897.2644771,0.222765001074519,0.823814979127948,"ASZ1"
"ATCAY",2989448.39617162,2472002.56791891,1.20932252861223,0.227145629785219,"ATCAY"
"ATF3",-5499088.88517148,3500559.01146037,-1.5709173498199,0.116873352645273,"ATF3"
"ATF4",-1339365.09889031,11729355.8000512,-0.114189144035042,0.909136516312465,"ATF4"
"ATF5",4308561.03969372,3835144.95710739,1.12344150948166,0.261822316176938,"ATF5"
"ATF6",12267672.8175216,11188354.7953266,1.09646798317889,0.273434318285963,"ATF6"
"ATF6B",-426160.358983441,10671248.9335163,-0.0399353779148526,0.968161567910703,"ATF6B"
"ATF7IP",27592309.4205914,6895113.25407631,4.00171953727942,7.30220866739181e-05,"ATF7IP"
"ATG2B",14519977.3116398,7400017.58428796,1.962154433588,0.05033289774889,"ATG2B"
"ATG3",-6754140.93880589,8061914.97274617,-0.837783697997152,0.402577116054012,"ATG3"
"ATG9A",7366832.83498491,7038975.77554822,1.04657738141046,0.295831320277244,"ATG9A"
"ATG9B",-15732.0753247938,3195551.72106009,-0.00492311710091016,0.996074021179767,"ATG9B"
"ATL3",5441152.7808382,5375685.56763948,1.01217839331839,0.311972442920122,"ATL3"
"ATM",11473322.0763945,6386206.90783046,1.79657850770955,0.0730431818994967,"ATM"
"ATOH7",1670309.35656134,3817294.38424352,0.437563674275635,0.661903180473379,"ATOH7"
"ATOX1",241857.74026563,4600640.64449024,0.0525704481081956,0.958096452029729,"ATOX1"
"ATP11B",711971.020599561,7130693.31466971,0.0998459741824612,0.920509091418286,"ATP11B"
"ATP12A",3095616.19023881,1760599.66042108,1.75827376309867,0.0793503871055354,"ATP12A"
"ATP1A1",-3997776.18841246,7844251.17794742,-0.509644081725918,0.610539539536229,"ATP1A1"
"ATP1A1OS",-3849542.62643722,5187025.05347622,-0.742148454412678,0.458367322900575,"ATP1A1OS"
"ATP1B4",4318914.29316283,3356814.27331041,1.28661103698883,0.198861911614225,"ATP1B4"
"ATP2B3",4887747.39644944,2527595.57794426,1.9337537377814,0.0537422139724645,"ATP2B3"
"ATP4A",5013709.44395685,3331898.33352152,1.50476063255442,0.133055896084094,"ATP4A"
"ATP4B",283116.819998005,2876418.58627013,0.0984268497462062,0.921635228731781,"ATP4B"
"ATP5H",-22765972.2544409,14276419.9413432,-1.59465554725753,0.111460050869832,"ATP5H"
"ATP5J",-23730493.395872,7746312.95655921,-3.06345657978847,0.00231334502045984,"ATP5J"
"`ATP5J2-PTCD1`",-5416111.40209558,4074431.0269346,-1.32929269541971,0.184394926073594,"ATP5J2-PTCD1"
"ATP5L2",-1400099.13604463,2581491.44350787,-0.542360556555671,0.587826659581577,"ATP5L2"
"ATP6AP1",4453622.07451121,6498094.91991923,0.685373502449017,0.493445432495606,"ATP6AP1"
"ATP6AP1L",4321235.40004268,766450.877316839,5.63798089079145,2.96896836595684e-08,"ATP6AP1L"
"ATP6V0A1",5263929.17192931,8424398.15468973,0.624843350856935,0.532376453116793,"ATP6V0A1"
"ATP6V0C",6255493.66972878,4559524.75918323,1.3719617723601,0.170728432942309,"ATP6V0C"
"ATP6V0CP3",8147491.47894989,6482640.54515872,1.25681678973154,0.209442904256777,"ATP6V0CP3"
"ATP6V1A",1020888.32531054,7254122.87786468,0.140732152253126,0.888141710156979,"ATP6V1A"
"ATP6V1C2",-3593300.54381264,1775273.43507747,-2.02408286679276,0.043525588353823,"ATP6V1C2"
"ATP6V1D",4694088.75386091,10133277.4931081,0.463234995494153,0.643409904865194,"ATP6V1D"
"ATP6V1G3",331253.491770552,2470010.00697525,0.134110182078251,0.893372733124437,"ATP6V1G3"
"ATP9A",-7738856.20792879,4328422.23842405,-1.78791619247074,0.0744322664996242,"ATP9A"
"ATPAF2",2897775.56306736,6657258.27042046,0.435280628354583,0.663558134318575,"ATPAF2"
"ATPBD4",-6584092.19230207,6446890.92104062,-1.02128177332948,0.30764522886635,"ATPBD4"
"ATRN",11166290.6358076,2040126.68836179,5.47333197467952,7.19102069699726e-08,"ATRN"
"ATXN1L",13666121.7448849,2954004.2459871,4.62630402899718,4.8174428256102e-06,"ATXN1L"
"ATXN3L",-392137.620606513,2650213.24414527,-0.147964553974215,0.882434063575949,"ATXN3L"
"ATXN7L1",-3464813.27916819,5853955.03340959,-0.591875622445657,0.554217866133623,"ATXN7L1"
"ATXN7L3B",627392.836836387,6079074.85317886,0.10320531528055,0.917843948630723,"ATXN7L3B"
"ATXN8OS",9712846.90326639,9052227.29683577,1.07297868080064,0.283830107909224,"ATXN8OS"
